strain	isotype	lat	long	geo	elevation	ASR	annual_rainfall	annual_temperature
NIC1561	NIC1561	25.00481	121.73369	Taiwan	320.703277587891	1602.37609863281	3664.62548828125	21.9111366271973
NIC1563	NIC1563	25.00481	121.73369	Taiwan	320.703277587891	1602.37609863281	3664.62548828125	21.9111366271973
NIC1564	NIC1564	25.00469	121.7343	Taiwan	320.703277587891	1602.37609863281	3664.62548828125	21.9111366271973
NIC1565	NIC1565	23.86597	120.90747	Taiwan	794.403991699219	1692.90356445312	2925.958984375	20.2267398834229
NIC1583	NIC1583	23.58773	121.34154	Taiwan	445.732635498047	1421.97863769531	3130.06494140625	21.5358848571777
NIC1584	NIC1584	23.58773	121.34154	Taiwan	445.732635498047	1421.97863769531	3130.06494140625	21.5358848571777
NIC1585	NIC1585	23.58773	121.34154	Taiwan	445.732635498047	1421.97863769531	3130.06494140625	21.5358848571777
NIC1586	NIC1586	23.58878	121.33879	Taiwan	445.732635498047	1421.97863769531	3130.06494140625	21.5358848571777
NIC1587	NIC1587	23.58801	121.34578	Taiwan	360.302124023438	1496.41198730469	3105.74047851562	22.2537155151367
NIC1588	NIC1588	23.58801	121.34578	Taiwan	360.302124023438	1496.41198730469	3105.74047851562	22.2537155151367
NIC1592	NIC1592	24.68622	121.13734	Taiwan	502.250854492188	1636.00305175781	3025.15795898438	20.9178524017334
NIC1594	NIC1594	24.68622	121.13734	Taiwan	502.250854492188	1636.00305175781	3025.15795898438	20.9178524017334
NIC1596	NIC1596	24.6871	121.13633	Taiwan	502.250854492188	1636.00305175781	3025.15795898438	20.9178524017334
NIC1603	NIC1603	24.68897	121.13965	Taiwan	375.270935058594	1543.57727050781	2927.57275390625	21.2999362945557
NIC1644	NIC1644	25.06464	121.82481	Taiwan	238.421569824219	1559.97961425781	3519.50366210938	22.3590030670166
NIC1646	NIC1646	25.06549	121.82703	Taiwan	238.421569824219	1559.97961425781	3519.50366210938	22.3590030670166
NIC1647	NIC1647	25.06574	121.82753	Taiwan	238.421569824219	1559.97961425781	3519.50366210938	22.3590030670166
NIC1648	NIC1648	25.06574	121.82753	Taiwan	238.421569824219	1559.97961425781	3519.50366210938	22.3590030670166
NIC1649	NIC1649	25.06574	121.82753	Taiwan	238.421569824219	1559.97961425781	3519.50366210938	22.3590030670166
NIC1650	NIC1650	25.06574	121.82753	Taiwan	238.421569824219	1559.97961425781	3519.50366210938	22.3590030670166
NIC1651	NIC1651	25.02814	121.74912	Taiwan	236.107269287109	1590.74951171875	3155.1123046875	22.3498497009277
NIC1653	NIC1653	25.02814	121.74912	Taiwan	236.107269287109	1590.74951171875	3155.1123046875	22.3498497009277
NIC1656	NIC1656	25.02814	121.74912	Taiwan	236.107269287109	1590.74951171875	3155.1123046875	22.3498497009277
NIC1657	NIC1657	25.02814	121.74912	Taiwan	236.107269287109	1590.74951171875	3155.1123046875	22.3498497009277
NIC1658	NIC1658	25.02814	121.74912	Taiwan	236.107269287109	1590.74951171875	3155.1123046875	22.3498497009277
NIC1679	NIC1679	22.08922	120.84876	Taiwan	217.635818481445	1510.22290039062	2545.64526367188	24.7360019683838
NIC1694	NIC1694	25.02177	121.58537	Taiwan	234.330581665039	1573.26843261719	3582.28662109375	22.5467720031738
NIC517	NIC517	25.00739	121.900472	Taiwan	150.622833251953	1477.28381347656	3978.42309570312	23.0453929901123
NIC530	NIC530	24.6	121	Taiwan	264.458099365234	1561.92358398438	2069.31225585938	22.1149234771729
NIC894	NIC894	22.01967	121.57357	Taiwan	289.5205078125	1573.06115722656	2867.16333007812	24.7478847503662
NIC895	NIC895	22.01967	121.57357	Taiwan	289.5205078125	1573.06115722656	2867.16333007812	24.7478847503662
NIC898	NIC898	22.01967	121.57357	Taiwan	289.5205078125	1573.06115722656	2867.16333007812	24.7478847503662
TWN2103	TWN2103	25.16666667	121.5166667	Taiwan	848.398803710938	1684.92895507812	3840.46606445312	19.0580978393555
