"identical alleles","total genome-wide SNVs","strain1","strain2"
179519,1611781,"BRC20391","NIC1033"
153315,1617908,"BRC20391","NIC1038"
158264,1607419,"BRC20391","NIC105"
155119,1607655,"BRC20391","NIC1112"
165548,1606075,"BRC20391","NIC1114"
165954,1607656,"BRC20391","NIC1115"
165731,1607772,"BRC20391","NIC1116"
147540,1606421,"BRC20391","NIC1121"
147318,1603947,"BRC20391","NIC1122"
175589,1612538,"BRC20391","NIC1126"
173984,1602706,"BRC20391","NIC1129"
167977,1603232,"BRC20391","NIC1130"
145568,1578346,"BRC20391","NIC1132"
168923,1608832,"BRC20391","NIC1133"
152960,1602140,"BRC20391","NIC1136"
153619,1602407,"BRC20391","NIC1137"
187188,1590686,"BRC20391","NIC114"
168500,1602742,"BRC20391","NIC1140"
167998,1604778,"BRC20391","NIC1142"
168923,1610023,"BRC20391","NIC1144"
147706,1607191,"BRC20391","NIC1145"
169148,1610839,"BRC20391","NIC1146"
168505,1606882,"BRC20391","NIC1147"
167219,1599706,"BRC20391","NIC1148"
169360,1612336,"BRC20391","NIC1149"
168204,1604574,"BRC20391","NIC1150"
168255,1603298,"BRC20391","NIC1151"
163951,1606368,"BRC20391","NIC1152"
169106,1611462,"BRC20391","NIC1153"
155187,1609041,"BRC20391","NIC1155"
145882,1598611,"BRC20391","NIC1156"
143386,1599243,"BRC20391","NIC1157"
169023,1611039,"BRC20391","NIC1159"
169013,1611402,"BRC20391","NIC1160"
147441,1594949,"BRC20391","NIC1161"
170399,1608747,"BRC20391","NIC1162"
170456,1609595,"BRC20391","NIC1163"
146421,1600835,"BRC20391","NIC1164"
150028,1600562,"BRC20391","NIC1165"
169026,1610507,"BRC20391","NIC1166"
168642,1608443,"BRC20391","NIC1167"
168875,1608928,"BRC20391","NIC1168"
169003,1611197,"BRC20391","NIC1169"
151217,1608129,"BRC20391","NIC1170"
169174,1611058,"BRC20391","NIC1171"
169145,1611436,"BRC20391","NIC1172"
151213,1608327,"BRC20391","NIC1173"
169169,1611629,"BRC20391","NIC1174"
169105,1611671,"BRC20391","NIC1175"
168814,1610304,"BRC20391","NIC1176"
152906,1609020,"BRC20391","NIC1177"
168890,1610895,"BRC20391","NIC1178"
167108,1592632,"BRC20391","NIC1179"
169197,1612684,"BRC20391","NIC1180"
169228,1609778,"BRC20391","NIC1181"
155205,1611634,"BRC20391","NIC1187"
155338,1612135,"BRC20391","NIC1188"
175811,1614478,"BRC20391","NIC1192"
146959,1603877,"BRC20391","NIC1193"
181551,1597035,"BRC20391","NIC120"
182541,1592651,"BRC20391","NIC121"
145078,1573703,"BRC20391","NIC122"
184258,1604928,"BRC20391","NIC124"
182175,1602776,"BRC20391","NIC125"
167967,1610868,"BRC20391","NIC1252"
155170,1612863,"BRC20391","NIC1254"
172726,1613848,"BRC20391","NIC1257"
157545,1602737,"BRC20391","NIC1268"
157508,1614162,"BRC20391","NIC1270"
150783,1588336,"BRC20391","NIC1272"
164065,1601303,"BRC20391","NIC1275"
158814,1614362,"BRC20391","NIC1276"
161634,1617504,"BRC20391","NIC1277"
165222,1608922,"BRC20391","NIC1278"
153172,1576891,"BRC20391","NIC1282"
154815,1593319,"BRC20391","NIC1284"
179067,1582593,"BRC20391","NIC1285"
187281,1591763,"BRC20391","NIC129"
170807,1611311,"BRC20391","NIC1290"
181261,1602686,"BRC20391","NIC1293"
178474,1579546,"BRC20391","NIC1294"
150438,1591158,"BRC20391","NIC1299"
163952,1607708,"BRC20391","NIC1300"
182031,1607678,"BRC20391","NIC1301"
180727,1596505,"BRC20391","NIC1305"
158677,1606754,"BRC20391","NIC1307"
154956,1615065,"BRC20391","NIC1309"
156955,1611127,"BRC20391","NIC1313"
153621,1581829,"BRC20391","NIC1315"
156760,1610030,"BRC20391","NIC1316"
156817,1600328,"BRC20391","NIC1317"
148156,1611230,"BRC20391","NIC1321"
158088,1610165,"BRC20391","NIC1323"
170575,1618258,"BRC20391","NIC1328"
148037,1583922,"BRC20391","NIC1335"
159711,1593365,"BRC20391","NIC1337"
179130,1606750,"BRC20391","NIC1338"
166316,1610896,"BRC20391","NIC1341"
169556,1585825,"BRC20391","NIC1342"
158751,1602433,"BRC20391","NIC1343"
153468,1610891,"BRC20391","NIC1344"
148257,1612709,"BRC20391","NIC1348"
148183,1610826,"BRC20391","NIC1354"
167902,1609531,"BRC20391","NIC1355"
151426,1613983,"BRC20391","NIC1359"
170329,1615300,"BRC20391","NIC1363"
151136,1610402,"BRC20391","NIC1368"
172833,1610649,"BRC20391","NIC1370"
170391,1594382,"BRC20391","NIC1371"
172579,1611351,"BRC20391","NIC1372"
148251,1612233,"BRC20391","NIC1376"
160505,1606927,"BRC20391","NIC1378"
167759,1572158,"BRC20391","NIC1380"
151943,1614647,"BRC20391","NIC1381"
171551,1614084,"BRC20391","NIC1382"
168899,1611608,"BRC20391","NIC1383"
176338,1612163,"BRC20391","NIC1384"
170679,1609253,"BRC20391","NIC1386"
150426,1614674,"BRC20391","NIC1387"
160293,1567860,"BRC20391","NIC1388"
158048,1606182,"BRC20391","NIC1389"
174893,1612144,"BRC20391","NIC1391"
158710,1615049,"BRC20391","NIC1392"
167961,1614282,"BRC20391","NIC1393"
156149,1593074,"BRC20391","NIC1395"
153785,1584749,"BRC20391","NIC1397"
163034,1614374,"BRC20391","NIC1400"
156098,1604898,"BRC20391","NIC1404"
150802,1618578,"BRC20391","NIC1405"
148157,1610466,"BRC20391","NIC1408"
156657,1608627,"BRC20391","NIC1409"
156650,1608524,"BRC20391","NIC1410"
159820,1609487,"BRC20391","NIC1411"
159572,1612120,"BRC20391","NIC1415"
157078,1611776,"BRC20391","NIC1417"
152756,1606648,"BRC20391","NIC1419"
159085,1612292,"BRC20391","NIC1420"
153977,1613276,"BRC20391","NIC1422"
184603,1612538,"BRC20391","NIC1425"
158878,1614261,"BRC20391","NIC1430"
170809,1589750,"BRC20391","NIC1432"
148457,1614412,"BRC20391","NIC1433"
162235,1533476,"BRC20391","NIC1434"
172078,1606771,"BRC20391","NIC1436"
151153,1608295,"BRC20391","NIC1438"
172445,1609205,"BRC20391","NIC1447"
157133,1612409,"BRC20391","NIC1453"
151191,1608265,"BRC20391","NIC1467"
151891,1608367,"BRC20391","NIC1470"
152075,1608147,"BRC20391","NIC1471"
151785,1607054,"BRC20391","NIC1472"
151871,1607531,"BRC20391","NIC1473"
150418,1596179,"BRC20391","NIC1474"
157197,1609327,"BRC20391","NIC1475"
150356,1615724,"BRC20391","NIC1476"
158623,1622198,"BRC20391","NIC1477"
148221,1613222,"BRC20391","NIC1478"
172227,1611232,"BRC20391","NIC1509"
150542,1605590,"BRC20391","NIC1514"
300301,1536672,"BRC20391","NIC1526"
300151,1538205,"BRC20391","NIC1531"
293733,1506070,"BRC20391","NIC1534"
161359,1579770,"BRC20391","NIC1541"
160070,1571128,"BRC20391","NIC1542"
164501,1566820,"BRC20391","NIC1543"
158993,1562951,"BRC20391","NIC1544"
158105,1559259,"BRC20391","NIC1545"
158268,1560708,"BRC20391","NIC1546"
167214,1584878,"BRC20391","NIC1547"
162301,1585191,"BRC20391","NIC1548"
162391,1585305,"BRC20391","NIC1549"
159266,1566486,"BRC20391","NIC1550"
161697,1583514,"BRC20391","NIC1551"
157251,1545005,"BRC20391","NIC1553"
171681,1584327,"BRC20391","NIC1555"
175920,1582341,"BRC20391","NIC1556"
163054,1586747,"BRC20391","NIC1557"
161791,1580909,"BRC20391","NIC1558"
166215,1580445,"BRC20391","NIC1559"
170760,1548995,"BRC20391","NIC1560"
155100,1534083,"BRC20391","NIC1561"
71417,1590438,"BRC20391","NIC1563"
158587,1558828,"BRC20391","NIC1564"
175596,1547285,"BRC20391","NIC1565"
180053,1571536,"BRC20391","NIC1583"
177884,1560189,"BRC20391","NIC1584"
176936,1554693,"BRC20391","NIC1585"
179771,1570426,"BRC20391","NIC1586"
178776,1562301,"BRC20391","NIC1587"
178967,1562504,"BRC20391","NIC1588"
197211,1561544,"BRC20391","NIC1592"
197995,1568618,"BRC20391","NIC1594"
179454,1568399,"BRC20391","NIC1596"
180140,1572100,"BRC20391","NIC1603"
163074,1586944,"BRC20391","NIC1644"
160690,1575355,"BRC20391","NIC1646"
160275,1569027,"BRC20391","NIC1647"
162180,1583970,"BRC20391","NIC1648"
162437,1584158,"BRC20391","NIC1649"
158983,1562927,"BRC20391","NIC1650"
168030,1571401,"BRC20391","NIC1651"
167163,1582938,"BRC20391","NIC1653"
158255,1584084,"BRC20391","NIC1656"
156639,1575511,"BRC20391","NIC1657"
178901,1566191,"BRC20391","NIC1658"
420211,1522295,"BRC20391","NIC1679"
174822,1577092,"BRC20391","NIC1694"
182023,1589303,"BRC20391","NIC1837"
183397,1598785,"BRC20391","NIC1846"
182999,1596605,"BRC20391","NIC1848"
189897,1579436,"BRC20391","NIC1851"
170859,1576661,"BRC20391","NIC1855"
160199,1597734,"BRC20391","NIC1856"
186453,1588556,"BRC20391","NIC1862"
193139,1592330,"BRC20391","NIC1877"
193060,1592889,"BRC20391","NIC1878"
182374,1591031,"BRC20391","NIC1879"
188187,1576621,"BRC20391","NIC1881"
180554,1573024,"BRC20391","NIC1886"
195685,1572204,"BRC20391","NIC1911"
188699,1588699,"BRC20391","NIC1912"
189957,1579780,"BRC20391","NIC1913"
184907,1584207,"BRC20391","NIC1914"
160944,1549249,"BRC20391","NIC1915"
162498,1561004,"BRC20391","NIC1916"
161764,1570034,"BRC20391","NIC1917"
162698,1561555,"BRC20391","NIC1918"
161926,1555005,"BRC20391","NIC1919"
144522,1570400,"BRC20391","NIC192"
167940,1568143,"BRC20391","NIC1927"
168443,1576262,"BRC20391","NIC1928"
182348,1573958,"BRC20391","NIC1929"
173526,1609230,"BRC20391","NIC193"
181293,1568148,"BRC20391","NIC1930"
195080,1542726,"BRC20391","NIC1938"
199289,1571625,"BRC20391","NIC1939"
186687,1576905,"BRC20391","NIC1940"
187580,1584618,"BRC20391","NIC1941"
163018,1586974,"BRC20391","NIC1950"
192007,1585491,"BRC20391","NIC1960"
191755,1583048,"BRC20391","NIC1961"
186594,1564443,"BRC20391","NIC1962"
187870,1579147,"BRC20391","NIC1976"
164530,1604950,"BRC20391","NIC203"
168325,1613395,"BRC20391","NIC2355"
184603,1612952,"BRC20391","NIC2357"
180585,1608403,"BRC20391","NIC2360"
174526,1605635,"BRC20391","NIC2361"
172770,1606300,"BRC20391","NIC2362"
175176,1610211,"BRC20391","NIC2363"
172609,1605059,"BRC20391","NIC2364"
180145,1609069,"BRC20391","NIC2365"
183945,1610681,"BRC20391","NIC2366"
185777,1607128,"BRC20391","NIC2367"
184585,1612358,"BRC20391","NIC2368"
175666,1604375,"BRC20391","NIC2370"
176543,1611653,"BRC20391","NIC2371"
169197,1612311,"BRC20391","NIC2373"
180697,1607640,"BRC20391","NIC2375"
183217,1604376,"BRC20391","NIC245"
183484,1604778,"BRC20391","NIC247"
173912,1611413,"BRC20391","NIC249"
159410,1611171,"BRC20391","NIC280"
148409,1613990,"BRC20391","NIC284"
148954,1609706,"BRC20391","NIC286"
148666,1614137,"BRC20391","NIC289"
152417,1609619,"BRC20391","NIC291"
148314,1610400,"BRC20391","NIC294"
151640,1612512,"BRC20391","NIC300"
162955,1613010,"BRC20391","NIC311"
170810,1615688,"BRC20391","NIC312"
154990,1621470,"BRC20391","NIC314"
160199,1611672,"BRC20391","NIC321"
157811,1610478,"BRC20391","NIC322"
160272,1611244,"BRC20391","NIC324"
152989,1608899,"BRC20391","NIC339"
169431,1611282,"BRC20391","NIC344"
159874,1607059,"BRC20391","NIC350"
169162,1620308,"BRC20391","NIC354"
172858,1621325,"BRC20391","NIC359"
155280,1602895,"BRC20391","NIC363"
149205,1613225,"BRC20391","NIC365"
164717,1616007,"BRC20391","NIC372"
173414,1604742,"BRC20391","NIC374"
163939,1602062,"BRC20391","NIC375"
161860,1587969,"BRC20391","NIC378"
168827,1603696,"BRC20391","NIC380"
163889,1593385,"BRC20391","NIC382"
165746,1612609,"BRC20391","NIC383"
161477,1598274,"BRC20391","NIC384"
174333,1613920,"BRC20391","NIC387"
164008,1602313,"BRC20391","NIC389"
173991,1612293,"BRC20391","NIC390"
154939,1608080,"BRC20391","NIC391"
174488,1616191,"BRC20391","NIC393"
166796,1614852,"BRC20391","NIC396"
155602,1612485,"BRC20391","NIC403"
155758,1613335,"BRC20391","NIC404"
155450,1611393,"BRC20391","NIC405"
154988,1612829,"BRC20391","NIC407"
157229,1603112,"BRC20391","NIC408"
155701,1613168,"BRC20391","NIC409"
169246,1611606,"BRC20391","NIC413"
165926,1613378,"BRC20391","NIC416"
147879,1609705,"BRC20391","NIC417"
159550,1611689,"BRC20391","NIC420"
179304,1615820,"BRC20391","NIC422"
159997,1612495,"BRC20391","NIC424"
155032,1607185,"BRC20391","NIC425"
146192,1575088,"BRC20391","NIC426"
154274,1593293,"BRC20391","NIC434"
156569,1600194,"BRC20391","NIC436"
149587,1598031,"BRC20391","NIC441"
165279,1594795,"BRC20391","NIC443"
166116,1610736,"BRC20391","NIC444"
148700,1601648,"BRC20391","NIC445"
157051,1609106,"BRC20391","NIC450"
156633,1619930,"BRC20391","NIC454"
165013,1611114,"BRC20391","NIC458"
150205,1607368,"BRC20391","NIC459"
154584,1602804,"BRC20391","NIC461"
152393,1613087,"BRC20391","NIC468"
172355,1617551,"BRC20391","NIC469"
151317,1603506,"BRC20391","NIC472"
169021,1619504,"BRC20391","NIC473"
147793,1601688,"BRC20391","NIC475"
157661,1609075,"BRC20391","NIC478"
148283,1613091,"BRC20391","NIC479"
160185,1613880,"BRC20391","NIC489"
147310,1590295,"BRC20391","NIC491"
158742,1602760,"BRC20391","NIC492"
162740,1620255,"BRC20391","NIC496"
170071,1611157,"BRC20391","NIC51"
161025,1575727,"BRC20391","NIC517"
169692,1606656,"BRC20391","NIC53"
162499,1585850,"BRC20391","NIC530"
183387,1602779,"BRC20391","NIC533"
189564,1597011,"BRC20391","NIC535"
189144,1595322,"BRC20391","NIC536"
188028,1591971,"BRC20391","NIC540"
185216,1599728,"BRC20391","NIC547"
167934,1605550,"BRC20391","NIC55"
185169,1585173,"BRC20391","NIC550"
185828,1590713,"BRC20391","NIC551"
164839,1611575,"BRC20391","NIC56"
184427,1595136,"BRC20391","NIC563"
162805,1564395,"BRC20391","NIC567"
185668,1600713,"BRC20391","NIC568"
173811,1610112,"BRC20391","NIC57"
167065,1593567,"BRC20391","NIC570"
174860,1580301,"BRC20391","NIC571"
173289,1569489,"BRC20391","NIC572"
175194,1581209,"BRC20391","NIC573"
184403,1590956,"BRC20391","NIC575"
185887,1599567,"BRC20391","NIC577"
184532,1591705,"BRC20391","NIC579"
160000,1623209,"BRC20391","NIC58"
185277,1601145,"BRC20391","NIC580"
181496,1564113,"BRC20391","NIC581"
164536,1577223,"BRC20391","NIC584"
185889,1600710,"BRC20391","NIC585"
163229,1576231,"BRC20391","NIC586"
185659,1599641,"BRC20391","NIC587"
185595,1601926,"BRC20391","NIC588"
185362,1601466,"BRC20391","NIC589"
186375,1602313,"BRC20391","NIC591"
174961,1579688,"BRC20391","NIC592"
185457,1601291,"BRC20391","NIC594"
184785,1591144,"BRC20391","NIC598"
183010,1575327,"BRC20391","NIC746"
164638,1577961,"BRC20391","NIC747"
192740,1593234,"BRC20391","NIC748"
192102,1584851,"BRC20391","NIC749"
183979,1587516,"BRC20391","NIC750"
184256,1601210,"BRC20391","NIC751"
180207,1587199,"BRC20391","NIC752"
180840,1591144,"BRC20391","NIC753"
165117,1580219,"BRC20391","NIC761"
184383,1600224,"BRC20391","NIC763"
189306,1589832,"BRC20391","NIC773"
183588,1602562,"BRC20391","NIC775"
164113,1618597,"BRC20391","NIC85"
166850,1573056,"BRC20391","NIC894"
166550,1570438,"BRC20391","NIC895"
167128,1577868,"BRC20391","NIC898"
169729,1608352,"BRC20391","NIC90"
148266,1607518,"BRC20391","NIC903"
155733,1610833,"BRC20391","NIC904"
172102,1608104,"BRC20391","NIC905"
171630,1615616,"BRC20391","NIC907"
156875,1614606,"BRC20391","NIC908"
177190,1597932,"BRC20391","NIC909"
152013,1606038,"BRC20391","NIC91"
163758,1611341,"BRC20391","NIC912"
171235,1613126,"BRC20391","NIC913"
161581,1607354,"BRC20391","NIC915"
184682,1610858,"BRC20391","NIC916"
185625,1612167,"BRC20391","NIC917"
185488,1608786,"BRC20391","NIC920"
157875,1606912,"BRC20391","NIC923"
168906,1604242,"BRC20391","NIC925"
163489,1604934,"BRC20391","NIC926"
175291,1613312,"BRC20391","NIC927"
169152,1616376,"BRC20391","NIC929"
165976,1605864,"BRC20391","NIC932"
174582,1615525,"BRC20391","NIC933"
175909,1612523,"BRC20391","NIC934"
159058,1616320,"BRC20391","NIC936"
172181,1611163,"BRC20391","NIC938"
174199,1609219,"BRC20391","NIC939"
151840,1612256,"BRC20391","NIC94"
156401,1617198,"BRC20391","NIC940"
177118,1612688,"BRC20391","NIC941"
181195,1610352,"BRC20391","NIC942"
162189,1611797,"BRC20391","NIC943"
184096,1601699,"BRC20391","NIC944"
162497,1611683,"BRC20391","NIC945"
162348,1612519,"BRC20391","NIC946"
166856,1615656,"BRC20391","NIC947"
163932,1614099,"BRC20391","NIC948"
162323,1612340,"BRC20391","NIC950"
173838,1608984,"BRC20391","NIC951"
152866,1614581,"BRC20391","NIC952"
174349,1612655,"BRC20391","NIC953"
170985,1618323,"BRC20391","NIC955"
166746,1610405,"BRC20391","NIC956"
155796,1612745,"BRC20391","NIC957"
181618,1608488,"BRC20391","NIC958"
155933,1614679,"BRC20391","NIC959"
162195,1611513,"BRC20391","NIC960"
165093,1604530,"BRC20391","NIC961"
180221,1592398,"BRC20391","NIC962"
164841,1607368,"BRC20391","NIC964"
163855,1611184,"BRC20391","NIC965"
178764,1593071,"BRC20391","NIC967"
181567,1608384,"BRC20391","NIC969"
163854,1607417,"BRC20391","NIC970"
175972,1609608,"BRC20391","NIC972"
182839,1610173,"BRC20391","NIC975"
182883,1609795,"BRC20391","NIC976"
182935,1610607,"BRC20391","NIC977"
163771,1615043,"BRC20391","NIC980"
181631,1610465,"BRC20391","NIC983"
160033,1607639,"BRC20391","NIC986"
157935,1616480,"BRC20391","NIC987"
157827,1616064,"BRC20391","NIC988"
186024,1612972,"BRC20391","NIC989"
159902,1622470,"BRC20391","NIC99"
155944,1613371,"BRC20391","NIC993"
174067,1611185,"BRC20391","NIC994"
174521,1602718,"BRC20391","NIC999"
166598,1596598,"BRC20391","QG1000"
154891,1597759,"BRC20391","QG1004"
114383,1570907,"BRC20391","QG131"
151301,1594853,"BRC20391","QG2697"
150814,1590375,"BRC20391","QG2699"
151075,1607945,"BRC20391","QG2716"
150438,1603927,"BRC20391","QG2720"
153347,1592746,"BRC20391","QG2724"
153203,1592864,"BRC20391","QG2725"
151643,1595753,"BRC20391","QG2726"
151048,1591748,"BRC20391","QG2727"
151488,1594641,"BRC20391","QG2733"
155349,1586159,"BRC20391","QG2747"
151695,1559614,"BRC20391","QG2748"
156863,1594220,"BRC20391","QG2749"
150933,1591695,"BRC20391","QG2755"
157113,1596703,"BRC20391","QG2770"
154385,1581532,"BRC20391","QG2771"
157284,1596607,"BRC20391","QG2772"
156396,1593158,"BRC20391","QG2773"
136515,1568257,"BRC20391","QG2896"
136344,1570767,"BRC20391","QG2897"
136747,1568326,"BRC20391","QG2898"
133878,1570630,"BRC20391","QG2899"
136456,1570466,"BRC20391","QG2904"
136232,1566199,"BRC20391","QG2905"
153303,1593009,"BRC20391","QG3008"
154212,1594826,"BRC20391","QG3009"
171457,1591223,"BRC20391","QG3010"
170769,1581467,"BRC20391","QG3011"
170240,1596369,"BRC20391","QG3013"
177670,1582414,"BRC20391","QG3024"
170825,1586433,"BRC20391","QG3036"
171348,1589995,"BRC20391","QG3037"
171259,1586833,"BRC20391","QG3038"
159043,1594196,"BRC20391","QG3055"
155152,1590359,"BRC20391","QG3064"
158568,1600570,"BRC20391","QG3514"
179937,1563814,"BRC20391","QG3520"
159204,1597178,"BRC20391","QG3521"
167119,1598647,"BRC20391","QG3522"
176861,1593176,"BRC20391","QG3523"
183875,1591345,"BRC20391","QG3526"
159915,1579496,"BRC20391","QG3529"
162820,1586945,"BRC20391","QG3533"
149021,1596059,"BRC20391","QG3535"
160580,1578199,"BRC20391","QG3539"
148484,1592091,"BRC20391","QG3543"
183806,1568087,"BRC20391","QG3545"
176993,1580391,"BRC20391","QG3546"
156898,1600703,"BRC20391","QG3547"
182061,1579010,"BRC20391","QG3548"
183756,1590648,"BRC20391","QG3549"
165525,1579193,"BRC20391","QG3782"
161550,1589807,"BRC20391","QG3785"
168331,1589245,"BRC20391","QG3786"
154131,1589851,"BRC20391","QG3789"
177440,1590483,"BRC20391","QG3790"
148481,1581872,"BRC20391","QG3791"
162014,1572231,"BRC20391","QG3792"
169927,1597148,"BRC20391","QG3793"
178074,1585875,"BRC20391","QG3795"
184679,1581768,"BRC20391","QG3797"
164727,1588265,"BRC20391","QG3799"
171840,1586452,"BRC20391","QG3800"
165239,1579063,"BRC20391","QG3802"
165421,1579347,"BRC20391","QG3803"
179730,1592096,"BRC20391","QG3805"
183680,1595178,"BRC20391","QG3807"
171242,1583687,"BRC20391","QG3808"
175369,1583104,"BRC20391","QG3809"
153750,1567029,"BRC20391","QG3811"
185190,1595180,"BRC20391","QG3812"
178340,1581281,"BRC20391","QG3814"
173613,1579637,"BRC20391","QG3817"
163214,1581395,"BRC20391","QG3818"
157835,1607629,"BRC20391","QG3821"
180575,1594281,"BRC20391","QG3824"
167863,1585270,"BRC20391","QG3828"
161548,1602377,"BRC20391","QG3829"
166942,1590543,"BRC20391","QG3831"
177259,1574315,"BRC20391","QG3833"
168296,1568733,"BRC20391","QG3834"
180131,1563589,"BRC20391","QG3835"
180941,1573090,"BRC20391","QG3836"
177527,1579536,"BRC20391","QG3838"
149316,1599660,"BRC20391","QG3839"
160629,1556581,"BRC20391","QG3843"
165839,1574700,"BRC20391","QG3844"
167414,1585309,"BRC20391","QG3845"
152436,1569646,"BRC20391","QG3846"
163387,1593066,"BRC20391","QG3847"
154352,1584392,"BRC20391","QG3848"
165687,1576680,"BRC20391","QG3849"
164217,1585600,"BRC20391","QG3850"
163217,1583569,"BRC20391","QG3852"
171863,1588413,"BRC20391","QG3853"
169673,1592159,"BRC20391","QG3854"
148917,1583277,"BRC20391","QG3855"
150480,1596238,"BRC20391","QG3856"
148669,1579640,"BRC20391","QG3857"
165912,1567097,"BRC20391","QG3859"
177863,1584019,"BRC20391","QG3860"
178619,1577048,"BRC20391","QG3862"
177886,1569384,"BRC20391","QG3863"
154353,1567026,"BRC20391","QG3868"
166412,1590041,"BRC20391","QG3869"
168392,1603790,"BRC20391","QG3871"
186451,1581553,"BRC20391","QG3872"
186008,1602021,"BRC20391","QG3873"
165665,1598799,"BRC20391","QG3877"
178635,1566842,"BRC20391","QG3880"
