strain	geo	staterf_mmann	tair_ann	tsurf_ann	sl_mst_ann	lai_ann	elevation	latitude	longitude	substrate_temp	ambient_temp	ambient_humidity
ECA2954	Hawaii	1402.375	21.9622020721436	23.3066711425781	0.501613736152649	3.57241272926331	294.542175292969	22.0638967	-159.3522759	21.6	22.3	80.5
ECA2955	Hawaii	1402.375	21.9622020721436	23.3066711425781	0.501613736152649	3.57241272926331	294.542175292969	22.0638967	-159.3522759	21.6	22.3	80.5
ECA2976	Hawaii	1402.375	21.9622020721436	23.3066711425781	0.501613736152649	3.57241272926331	294.542175292969	22.0638967	-159.3522759	21.6	22.3	80.5
ECA3053	Hawaii	2496.19848632812	18.9583015441895	18.9749164581299	0.600335240364075	4.53571844100952	639.796447753906	20.0389764	-155.4399684	17.5	17.5	78
ECA788	Hawaii	2106.21948242188	21.8093090057373	21.8259124755859	0.57763147354126	4.35191249847412	240.896423339844	21.362625	-157.779914	24.4	26.7222222	76
ECA789	Hawaii	3672.89575195312	21.5923500061035	21.6090068817139	0.682905077934265	4.62025880813599	156.798797607422	21.336056	-157.799786	22.9	22.9	93.7
ECA790	Hawaii	1572.48181152344	22.7989883422852	22.8156318664551	0.524450838565826	2.7600269317627	85.2690963745117	22.053952	-159.367837	31.8	31.5	58.4
ECA791	Hawaii	2271.27490234375	21.8465003967285	23.1909828186035	0.594161987304688	3.50685167312622	212.711776733398	22.193317	-159.478956	22.6	25.3	77.4
ECA792	Hawaii	2271.27490234375	21.8465003967285	23.1909828186035	0.594161987304688	3.50685167312622	212.711776733398	22.193317	-159.478956	22.6	25.3	77.4
ECA793	Hawaii	2265.46044921875	21.8574275970459	21.8740844726562	0.593689799308777	4.63950204849243	185.091827392578	22.194578	-159.478478	24.5	24.2777778	85.3
ECA794	Hawaii	1572.48181152344	22.7989883422852	22.8156318664551	0.524450838565826	2.7600269317627	85.2690963745117	22.053952	-159.367837	31.8	31.5	58.4
ECA796	Hawaii	3696.5126953125	22.0858821868896	23.4303016662598	0.683076977729797	2.97432065010071	90.5845718383789	19.905167	-155.139322	28.3	27.4	67.4
ECA797	Hawaii	4136.99072265625	20.9653930664062	22.3098583221436	0.70373260974884	2.01311731338501	239.705093383789	19.590717	-155.067906	26.6	28.8	65.5
ECA798	Hawaii	3702.05004882812	21.9776706695557	21.9943428039551	0.683402180671692	2.05621004104614	99.4412536621094	19.906725	-155.141275	26.6	23.3	84.7
ECA799	Hawaii	4136.99072265625	20.9653930664062	22.3098583221436	0.70373260974884	2.01311731338501	243.535339355469	19.589467	-155.068069	25.3	23.7	68
ECA800	Hawaii	5845.59619140625	19.4104137420654	19.427038192749	0.766029477119446	4.3589072227478	432.402679443359	20.78352803	-156.0650423	29.3	27.7	74.4
ECA801	Hawaii	5845.59619140625	19.4104137420654	19.427038192749	0.766029477119446	4.3589072227478	432.402679443359	20.78352803	-156.0650423	29.3	27.7	74.4
ECA802	Hawaii	5845.59619140625	19.4104137420654	19.427038192749	0.766029477119446	4.3589072227478	432.402679443359	20.78352803	-156.0650423	29.3	27.7	74.4
ECA803	Hawaii	5845.59619140625	19.4104137420654	19.427038192749	0.766029477119446	4.3589072227478	432.402679443359	20.78352803	-156.0650423	29.3	27.7	74.4
ECA804	Hawaii	5310.44287109375	20.5625419616699	20.5791778564453	0.74794989824295	4.02539825439453	283.555389404297	20.807406	-156.096654	25.4	24.3	81.2
ECA805	Hawaii	5310.44287109375	20.5625419616699	20.5791778564453	0.74794989824295	4.02539825439453	283.555389404297	20.807406	-156.096654	25.4	24.3	81.2
ECA806	Hawaii	5468.783203125	19.8611736297607	19.8777809143066	0.75334233045578	3.45523691177368	382.552215576172	20.813647	-156.118573	24.3	24.9	86.3
QG131	Hawaii	1779.658203125	23.0441455841064	26.8595867156982	0.550932049751282	2.40043067932129	11.5911865234375	22.22955	-159.4764	NA	NA	NA
