N	eigenvalue	difference	twstat	p-value	effect.n
286	0.481934	-0.000258	-9.877	1	466.135
287	0.473829	-0.008105	-10.358	1	464.984
288	0.469762	-0.004067	-10.356	1	463.592
289	0.464900	-0.004862	-10.457	1	462.185
290	0.459698	-0.005202	-10.609	1	460.713
291	0.444221	-0.015477	-12.080	1	459.154
292	0.440069	-0.004152	-12.160	1	456.917
293	0.428942	-0.011127	-13.141	1	454.624
294	0.419632	-0.009310	-13.923	1	451.897
295	0.417795	-0.001837	-13.766	1	448.835
296	0.412519	-0.005276	-14.051	1	445.812
297	0.410325	-0.002194	-13.947	1	442.655
298	0.402583	-0.007742	-14.560	1	439.517
299	0.397958	-0.004624	-14.788	1	436.120
300	0.396946	-0.001012	-14.553	1	432.617
301	0.392664	-0.004282	-14.739	1	429.180
302	0.389689	-0.002975	-14.760	1	425.651
303	0.385646	-0.004042	-14.922	1	422.093
304	0.378914	-0.006732	-15.440	1	418.454
305	0.375460	-0.003454	-15.545	1	414.609
306	0.374914	-0.000547	-15.274	1	410.707
307	0.370957	-0.003956	-15.442	1	406.879
308	0.367320	-0.003638	-15.574	1	402.973
309	0.366657	-0.000663	-15.322	1	399.002
310	0.365344	-0.001312	-15.150	1	395.099
311	0.362896	-0.002448	-15.122	1	391.236
312	0.360070	-0.002826	-15.144	1	387.363
313	0.359230	-0.000840	-14.910	1	383.463
314	0.357598	-0.001632	-14.773	1	379.625
315	0.354934	-0.002664	-14.768	1	375.815
316	0.354287	-0.000647	-14.502	1	371.987
317	0.350789	-0.003498	-14.601	1	368.234
318	0.345856	-0.004933	-14.889	1	364.424
319	0.345445	-0.000411	-14.599	1	360.493
320	0.341655	-0.003789	-14.741	1	356.643
321	0.341155	-0.000500	-14.461	1	352.724
322	0.340627	-0.000528	-14.179	1	348.884
323	0.335534	-0.005093	-14.482	1	345.125
324	0.335097	-0.000437	-14.190	1	341.237
325	0.327394	-0.007702	-14.833	1	337.433
326	0.325415	-0.001980	-14.753	1	333.385
327	0.324182	-0.001233	-14.575	1	329.347
328	0.321246	-0.002936	-14.613	1	325.351
329	0.317242	-0.004004	-14.791	1	321.324
330	0.316827	-0.000415	-14.512	1	317.221
331	0.308684	-0.008143	-15.221	1	313.193
332	0.308144	-0.000540	-14.971	1	308.919
333	0.306085	-0.002059	-14.910	1	304.710
334	0.303477	-0.002608	-14.919	1	300.506
335	0.302049	-0.001428	-14.778	1	296.284
336	0.297230	-0.004819	-15.067	1	292.093
337	0.294504	-0.002726	-15.096	1	287.799
338	0.292696	-0.001808	-15.011	1	283.486
339	0.292272	-0.000423	-14.749	1	279.186
340	0.291000	-0.001272	-14.590	1	274.954
341	0.290920	-0.000080	-14.278	1	270.757
342	0.286083	-0.004837	-14.556	1	266.644
343	0.284196	-0.001887	-14.471	1	262.435
344	0.283591	-0.000605	-14.227	1	258.239
345	0.282425	-0.001166	-14.047	1	254.106
346	0.281011	-0.001414	-13.894	1	250.015
347	0.279128	-0.001883	-13.796	1	245.959
348	0.278365	-0.000763	-13.559	1	241.921
349	0.276205	-0.002160	-13.489	1	237.944
350	0.275260	-0.000945	-13.269	1	233.975
351	0.275242	-0.000018	-12.931	1	230.062
352	0.274563	-0.000679	-12.665	1	226.243
353	0.274147	-0.000416	-12.361	1	222.494
354	0.274147	-0.000000	-11.999	1	218.831
355	0.274147	0.000000	-11.626	1	215.274
356	0.274147	-0.000000	-11.242	1	211.828
357	0.274147	-0.000000	-10.845	1	208.501
358	0.274147	-0.000000	-10.435	1	205.301
359	0.274147	-0.000000	-10.010	1	202.237
360	0.274147	-0.000000	-9.567	1	199.319
361	0.274147	-0.000000	-9.105	1	196.561
362	0.274147	-0.000000	-8.621	1	193.976
363	0.274147	-0.000000	-8.113	1	191.582
364	0.274147	-0.000000	-7.576	1	189.402
365	0.274147	-0.000000	-7.007	1	187.459
366	0.274147	-0.000000	-6.401	1	185.787
367	0.274147	-0.000000	-5.751	0.99999	184.423
368	0.274147	-0.000000	-5.049	0.999772	183.417
369	0.274147	-0.000000	-4.287	0.996684	182.831
370	0.274147	-0.000000	-3.450	0.971101	182.744
371	0.272409	-0.001738	-2.762	0.89671	183.261
372	0.264897	-0.007512	-2.812	0.904561	184.329
373	0.249309	-0.015588	-4.060	0.993588	185.387
374	0.237759	-0.011549	-4.900	0.999592	185.482
375	0.229571	-0.008188	-5.351	0.999935	184.951
376	0.221554	-0.008017	-5.836	0.999994	184.082
377	0.216131	-0.005423	-5.982	0.999997	182.853
378	0.212700	-0.003431	-5.841	0.999994	181.495
379	0.209797	-0.002903	-5.613	0.999981	180.203
380	0.208868	-0.000929	-5.055	0.999777	179.042
381	0.195980	-0.012888	-6.397	1	178.264
382	0.195312	-0.000668	-5.870	0.999995	176.494
383	0.190093	-0.005219	-6.060	0.999998	175.054
384	0.188377	-0.001715	-5.687	0.999987	173.443
385	0.178523	-0.009854	-6.679	1	172.067
386	0.168696	-0.009826	-7.769	1	169.945
387	0.166799	-0.001898	-7.574	1	167.078
388	0.160105	-0.006694	-8.206	1	164.285
389	0.157748	-0.002357	-8.127	1	161.071
390	0.152801	-0.004947	-8.502	1	157.860
391	0.150511	-0.002290	-8.437	1	154.398
392	0.148093	-0.002418	-8.395	1	150.931
393	0.145538	-0.002555	-8.377	1	147.449
394	0.143397	-0.002141	-8.289	1	143.938
395	0.139764	-0.003633	-8.462	1	140.436
396	0.136165	-0.003599	-8.642	1	136.806
397	0.134717	-0.001448	-8.458	1	133.050
398	0.130272	-0.004445	-8.790	1	129.356
399	0.129594	-0.000678	-8.486	1	125.469
400	0.126889	-0.002705	-8.521	1	121.701
401	0.125758	-0.001131	-8.288	1	117.890
402	0.124410	-0.001348	-8.082	1	114.164
403	0.123845	-0.000566	-7.734	1	110.509
404	0.123251	-0.000593	-7.372	1	106.998
405	0.121052	-0.002199	-7.265	1	103.641
406	0.119651	-0.001401	-7.018	1	100.306
407	0.118533	-0.001118	-6.708	1	97.066
408	0.118344	-0.000189	-6.219	0.999999	93.960
409	0.116096	-0.002248	-6.047	0.999998	91.096
410	0.110614	-0.005482	-6.426	1	88.292
411	0.108340	-0.002275	-6.292	0.999999	85.216
412	0.108040	-0.000299	-5.807	0.999993	82.177
413	0.106514	-0.001526	-5.495	0.999966	79.381
414	0.104982	-0.001532	-5.158	0.999853	76.734
415	0.104358	-0.000624	-4.627	0.998901	74.259
416	0.094396	-0.009963	-5.722	0.999989	72.107
417	0.093134	-0.001262	-5.388	0.999945	69.164
418	0.090750	-0.002384	-5.229	0.999891	66.380
419	0.087767	-0.002982	-5.171	0.999861	63.647
420	0.086911	-0.000856	-4.723	0.999217	60.901
421	0.084721	-0.002191	-4.474	0.998163	58.398
422	0.082264	-0.002457	-4.250	0.9963	56.012
423	0.081372	-0.000892	-3.704	0.983842	53.729
424	0.075972	-0.005400	-3.957	0.991498	51.810
425	0.069346	-0.006626	-4.533	0.99849	49.622
426	0.066791	-0.002556	-4.406	0.997711	46.957
427	0.063319	-0.003472	-4.459	0.998074	44.323
428	0.062833	-0.000486	-3.925	0.990748	41.604
429	0.060847	-0.001986	-3.622	0.980351	39.190
430	0.056809	-0.004037	-3.710	0.984069	36.937
431	0.054905	-0.001905	-3.385	0.966856	34.554
432	0.054483	-0.000422	-2.684	0.8836	32.348
433	0.050762	-0.003721	-2.554	0.859542	30.666
434	0.047732	-0.003030	-2.266	0.795813	29.029
435	0.045766	-0.001966	-1.650	0.621217	27.605
436	0.040534	-0.005232	-1.698	0.635893	26.849
437	0.039162	-0.001372	-0.735	0.338607	25.970
438	0.029707	-0.009455	-1.997	0.72496	26.712
439	0.028124	-0.001583	-1.387	0.53782	25.308
440	0.024684	-0.003440	-1.270	0.500336	24.774
441	0.021246	-0.003438	-1.249	0.493885	24.422
442	0.020385	-0.000861	-0.021	0.171886	24.081
443	0.014160	-0.006225	-1.216	0.483395	27.952
444	0.012029	-0.002131	-1.241	0.491303	27.937
445	0.010561	-0.001468	-0.901	0.386419	27.822
446	0.008191	-0.002371	-1.483	0.568517	29.076
447	0.006781	-0.001409	-1.757	0.654239	27.969
448	0.005859	-0.000923	NA	NA	NA
449	0.005331	-0.000527	NA	NA	NA
450	0.004188	-0.001143	NA	NA	NA
451	0.003327	-0.000861	NA	NA	NA
452	0.002883	-0.000444	NA	NA	NA
453	0.002258	-0.000625	NA	NA	NA
454	0.000931	-0.001328	NA	NA	NA
455	0.000779	-0.000152	NA	NA	NA
456	0.000311	-0.000468	NA	NA	NA
