strain,isotype,lat,long,geo,lineage
ECA2976,ECA2976,22.0638967,-159.3522759,Hawaii,HC
ECA3053,ECA3053,20.0389764,-155.4399684,Hawaii,HC
ECA788,ECA788,21.362625,-157.779914,Hawaii,Hw3
ECA789,ECA789,21.336056,-157.799786,Hawaii,Hw3
ECA790,ECA790,22.053952,-159.367837,Hawaii,HC
ECA791,ECA791,22.193317,-159.478956,Hawaii,HC
ECA792,ECA792,22.193317,-159.478956,Hawaii,HC
ECA793,ECA793,22.194578,-159.478478,Hawaii,HC
ECA794,ECA794,22.053952,-159.367837,Hawaii,HC
ECA796,ECA796,19.905167,-155.139322,Hawaii,HC
ECA797,ECA797,19.590717,-155.067906,Hawaii,HC
ECA798,ECA798,19.906725,-155.141275,Hawaii,HC
ECA799,ECA799,19.589467,-155.068069,Hawaii,HC
ECA800,ECA800,20.78352803,-156.0650423,Hawaii,Hw1
ECA801,ECA801,20.78352803,-156.0650423,Hawaii,Hw1
ECA802,ECA802,20.78352803,-156.0650423,Hawaii,Hw1
ECA803,ECA803,20.78352803,-156.0650423,Hawaii,Hw1
ECA804,ECA804,20.807406,-156.096654,Hawaii,Hw1
ECA805,ECA805,20.807406,-156.096654,Hawaii,Hw1
ECA806,ECA806,20.813647,-156.118573,Hawaii,Af
EG5889,EG5889,18.3,-65.8,Caribbean,LAC
EG6180,EG6180,18.3,-65.8,Caribbean,LAC
HPT25,HPT25,-8.5315,116.239193,Indonesia,Indo2
HPT33,HPT33,-5.2563,119.86386,Indonesia,Indo3
HPT39,HPT39,-5.252764,119.865139,Indonesia,Indo2
HPT56,HPT56,-8.52582,115.167492,Indonesia,Indo1
JU1373,JU1373,-21.0473,55.6885,Africa,Af
JU1374,JU1374,-21.0484,55.6878,Africa,Af
JU1428,JU1428,4.08,-52.68,South America,LAC
JU1630,JU1630,17.1064,-25.1222,Africa,Af
JU1631,JU1631,17.1404,-25.1261,Africa,Af
JU1632,JU1632,17.1508,-25.1314,Africa,Af
JU1633,JU1633,17.115,-25.05,Africa,Af
JU1634,JU1634,17.12,-25.049,Africa,Af
JU1635,JU1635,17.121,-25.0492,Africa,LAC
JU1636,JU1636,17.129,-25.0966,Africa,Af
JU1639,JU1639,17.149,-25.0696,Africa,Af
JU1640,JU1640,15.084,-23.5215,Africa,Af
JU1641,JU1641,14.9174,-23.6049,Africa,Af
JU1800,JU1800,-21.0471,55.6887,Africa,Af
JU1818,JU1818,4.595467,-52.262633,South America,Af
JU1819,JU1819,4.08805,-52.675667,South America,LAC
JU1821,JU1821,4.087967,-52.675167,South America,LAC
JU1835,JU1835,4.085783,-52.6791,South America,LAC
JU1836,JU1836,4.087883,-52.680033,South America,LAC
JU1838,JU1838,4.085517,-52.681917,South America,LAC
JU1845,JU1845,4.089583,-52.67705,South America,LAC
JU1846,JU1846,4.0911,-52.674633,South America,LAC
JU1847,JU1847,4.090833,-52.67465,South America,LAC
JU1848,JU1848,4.090933,-52.674933,South America,LAC
JU1849,JU1849,4.086683,-52.68165,South America,LAC
JU1850,JU1850,4.086683,-52.68165,South America,LAC
JU1851,JU1851,4.087367,-52.682217,South America,LAC
JU1870,JU1870,4.082883,-52.679783,South America,LAC
JU1871,JU1871,4.082883,-52.679783,South America,LAC
JU1975,JU1975,-2.96,-59.84,South America,LAC
JU1976,JU1976,-2.96,-59.84,South America,LAC
JU2505,JU2505,10.4708,-84.6452,Central America,LAC
JU2750,JU2750,16.1761,-61.6951,Caribbean,LAC
JU2752,JU2752,16.1761,-61.6951,Caribbean,LAC
JU3170,JU3170,0.289,6.612,Africa,Af
NIC1000,NIC1000,4.0391,-52.6675,South America,LAC
NIC1004,NIC1004,4.03896,-52.66843,South America,LAC
NIC1005,NIC1005,4.03896,-52.66843,South America,LAC
NIC1012,NIC1012,4.03793,-52.67185,South America,LAC
NIC1016,NIC1016,4.03793,-52.67185,South America,LAC
NIC1028,NIC1028,4.03896,-52.66843,South America,LAC
NIC1033,NIC1033,4.03724,-52.67196,South America,LAC
NIC1038,NIC1038,4.03896,-52.66843,South America,LAC
NIC105,NIC105,4.08747,-52.67394,South America,LAC
NIC1112,NIC1112,-12.829016,-71.377696,South America,LAC
NIC1116,NIC1116,-12.838824,-71.365178,South America,LAC
NIC1121,NIC1121,-12.87416004,-69.49736402,South America,LAC
NIC1126,NIC1126,-12.874715,-69.49602501,South America,LAC
NIC1132,NIC1132,-12.87564397,-69.49700503,South America,LAC
NIC1136,NIC1136,-12.872141,-69.49788203,South America,LAC
NIC1137,NIC1137,-12.872141,-69.49788203,South America,LAC
NIC114,NIC114,16.0435,-61.643,Caribbean,LAC
NIC1140,NIC1140,-12.87255297,-69.49927501,South America,LAC
NIC1142,NIC1142,-12.87388603,-69.49565898,South America,LAC
NIC1144,NIC1144,-12.87499001,-69.49504701,South America,LAC
NIC1145,NIC1145,-12.87499001,-69.49504701,South America,LAC
NIC1146,NIC1146,-12.875765,-69.49353903,South America,LAC
NIC1147,NIC1147,-12.87586299,-69.49340601,South America,LAC
NIC1149,NIC1149,-12.87644897,-69.49256002,South America,LAC
NIC1150,NIC1150,-12.87688499,-69.49274903,South America,LAC
NIC1151,NIC1151,-12.87644704,-69.49407396,South America,LAC
NIC1152,NIC1152,-12.87629499,-69.49540299,South America,LAC
NIC1153,NIC1153,-12.87629499,-69.49540299,South America,LAC
NIC1155,NIC1155,-12.87564204,-69.49654997,South America,LAC
NIC1156,NIC1156,-12.990649,-69.507455,South America,LAC
NIC1157,NIC1157,-12.990649,-69.507455,South America,LAC
NIC1160,NIC1160,-12.875118,-69.49683102,South America,LAC
NIC1161,NIC1161,-12.87576098,-69.496324,South America,LAC
NIC1163,NIC1163,-12.875965,-69.49581496,South America,LAC
NIC1164,NIC1164,-12.87692699,-69.49483403,South America,LAC
NIC1165,NIC1165,-12.87688399,-69.49484501,South America,LAC
NIC1167,NIC1167,-12.87739897,-69.49448098,South America,LAC
NIC1168,NIC1168,-12.87918197,-69.49254099,South America,LAC
NIC1169,NIC1169,-12.87919999,-69.49226297,South America,LAC
NIC1170,NIC1170,-12.87956603,-69.49155604,South America,LAC
NIC1175,NIC1175,-12.88087302,-69.49066697,South America,LAC
NIC1176,NIC1176,-12.88127099,-69.49013798,South America,LAC
NIC1177,NIC1177,-12.881345,-69.49006297,South America,LAC
NIC1179,NIC1179,-12.882596,-69.48865003,South America,LAC
NIC1180,NIC1180,-12.88253004,-69.48824904,South America,LAC
NIC1181,NIC1181,-12.88332003,-69.48725897,South America,LAC
NIC1188,NIC1188,-12.88252903,-69.48456,South America,LAC
NIC1192,NIC1192,-12.849763,-69.45771201,South America,LAC
NIC1193,NIC1193,-12.84973802,-69.45760002,South America,LAC
NIC122,NIC122,16.1779,-61.6563,Caribbean,HC
NIC124,NIC124,16.0435,-61.643,Caribbean,LAC
NIC125,NIC125,16.0207,-61.597,Caribbean,LAC
NIC1252,NIC1252,4.085349999,-52.68294297,South America,LAC
NIC1254,NIC1254,4.085349999,-52.68294297,South America,LAC
NIC1257,NIC1257,4.085349999,-52.68294297,South America,LAC
NIC1268,NIC1268,3.608203959,-53.175201,South America,LAC
NIC1270,NIC1270,3.599450989,-53.18744604,South America,LAC
NIC1272,NIC1272,3.648232995,-53.19701498,South America,LAC
NIC1275,NIC1275,3.643404013,-53.19835701,South America,LAC
NIC1276,NIC1276,3.61280797,-53.180336,South America,LAC
NIC1277,NIC1277,3.607720993,-53.19995603,South America,LAC
NIC1278,NIC1278,3.638634961,-53.20414497,South America,LAC
NIC129,NIC129,16.0207,-61.597,Caribbean,LAC
NIC1290,NIC1290,3.605792988,-53.17799502,South America,LAC
NIC1293,NIC1293,3.644524002,-53.19812902,South America,LAC
NIC1300,NIC1300,3.594842032,-53.17887696,South America,LAC
NIC1301,NIC1301,3.620189996,-53.20809804,South America,LAC
NIC1305,NIC1305,3.614802025,-53.19812601,South America,LAC
NIC1307,NIC1307,4.868027978,-52.34595903,South America,LAC
NIC1309,NIC1309,4.548271028,-52.21274,South America,LAC
NIC1313,NIC1313,4.54814597,-52.21200599,South America,LAC
NIC1316,NIC1316,4.548271028,-52.21274,South America,LAC
NIC1317,NIC1317,4.555320963,-52.209778,South America,LAC
NIC1321,NIC1321,4.558942029,-52.20779099,South America,LAC
NIC1323,NIC1323,4.556285972,-52.20881601,South America,LAC
NIC1328,NIC1328,4.048613962,-52.676549,South America,LAC
NIC1337,NIC1337,4.048613962,-52.676549,South America,LAC
NIC1338,NIC1338,4.048259994,-52.67714798,South America,LAC
NIC1341,NIC1341,4.047429012,-52.67763203,South America,LAC
NIC1343,NIC1343,4.048513966,-52.67673198,South America,LAC
NIC1344,NIC1344,4.055127036,-52.67816302,South America,LAC
NIC1354,NIC1354,4.071575012,-52.68970096,South America,LAC
NIC1355,NIC1355,4.057417978,-52.67890298,South America,LAC
NIC1359,NIC1359,4.053170029,-52.67738703,South America,LAC
NIC1363,NIC1363,4.058048967,-52.67827903,South America,LAC
NIC1372,NIC1372,4.081040025,-52.68228097,South America,LAC
NIC1376,NIC1376,4.083392993,-52.68151998,South America,LAC
NIC1378,NIC1378,4.0951,-52.686219,South America,LAC
NIC1381,NIC1381,4.039456984,-52.67586404,South America,LAC
NIC1382,NIC1382,4.038440008,-52.67334703,South America,LAC
NIC1383,NIC1383,4.038909981,-52.673385,South America,LAC
NIC1384,NIC1384,4.047968974,-52.67714404,South America,LAC
NIC1386,NIC1386,3.602447016,-53.19164,South America,LAC
NIC1387,NIC1387,3.603495006,-53.19458197,South America,LAC
NIC1389,NIC1389,3.616803959,-53.19629196,South America,LAC
NIC1391,NIC1391,3.596770959,-53.17791598,South America,LAC
NIC1392,NIC1392,3.601659033,-53.190647,South America,LAC
NIC1393,NIC1393,3.621482989,-53.21409596,South America,LAC
NIC1395,NIC1395,3.632552968,-53.20619199,South America,LAC
NIC1400,NIC1400,4.561057035,-52.18330602,South America,LAC
NIC1405,NIC1405,3.600050965,-53.18947999,South America,LAC
NIC1408,NIC1408,3.641236033,-53.18958099,South America,LAC
NIC1410,NIC1410,3.61230799,-53.21481999,South America,LAC
NIC1411,NIC1411,3.596770959,-53.17791598,South America,LAC
NIC1415,NIC1415,3.637292013,-53.20446499,South America,LAC
NIC1419,NIC1419,3.603130979,-53.19263603,South America,LAC
NIC1420,NIC1420,3.603495006,-53.19458197,South America,LAC
NIC1422,NIC1422,3.639726033,-53.20330401,South America,LAC
NIC1425,NIC1425,4.039971968,-52.674937,South America,LAC
NIC1430,NIC1430,4.049461037,-52.67627399,South America,LAC
NIC1432,NIC1432,4.087813022,-52.67992197,South America,LAC
NIC1433,NIC1433,4.055725001,-52.67804501,South America,LAC
NIC1438,NIC1438,4.08830001,-52.68124396,South America,LAC
NIC1453,NIC1453,4.554173984,-52.21073999,South America,LAC
NIC1470,NIC1470,4.090107987,-52.68292302,South America,LAC
NIC1476,NIC1476,4.086242002,-52.67756699,South America,LAC
NIC1477,NIC1477,4.086242002,-52.67756699,South America,LAC
NIC1478,NIC1478,4.086242002,-52.67756699,South America,LAC
NIC1514,NIC1514,4.085349999,-52.68294297,South America,LAC
NIC1526,NIC1526,-16.755721,49.99665,Africa,Af
NIC1531,NIC1531,-16.755873,49.996516,Africa,Af
NIC1534,NIC1534,-17.088793,49.827329,Africa,Af
NIC1541,NIC1541,25.05792,121.77076,Taiwan,Tw3
NIC1542,NIC1542,25.05704,121.77109,Taiwan,Tw3
NIC1543,NIC1543,25.05704,121.77109,Taiwan,Tw3
NIC1544,NIC1544,25.05343,121.77265,Taiwan,Tw3
NIC1545,NIC1545,25.05343,121.77265,Taiwan,Tw3
NIC1546,NIC1546,25.05343,121.77265,Taiwan,Tw3
NIC1547,NIC1547,25.05343,121.77265,Taiwan,Tw3
NIC1548,NIC1548,25.05343,121.77265,Taiwan,Tw3
NIC1549,NIC1549,25.05343,121.77265,Taiwan,Tw3
NIC1550,NIC1550,25.05343,121.77265,Taiwan,Tw3
NIC1551,NIC1551,25.02212,121.73275,Taiwan,Tw3
NIC1553,NIC1553,25.02212,121.73275,Taiwan,Tw3
NIC1555,NIC1555,25.02132,121.73295,Taiwan,Tw3
NIC1556,NIC1556,25.02132,121.73295,Taiwan,Tw2
NIC1557,NIC1557,25.01713,121.73247,Taiwan,Tw3
NIC1559,NIC1559,25.01519,121.73311,Taiwan,Tw3
NIC1560,NIC1560,25.01519,121.73311,Taiwan,Tw2
NIC1561,NIC1561,25.00481,121.73369,Taiwan,Tw3
NIC1563,NIC1563,25.00481,121.73369,Taiwan,Tw5
NIC1564,NIC1564,25.00469,121.7343,Taiwan,Tw3
NIC1565,NIC1565,23.86597,120.90747,Taiwan,Tw1
NIC1583,NIC1583,23.58773,121.34154,Taiwan,Tw1
NIC1584,NIC1584,23.58773,121.34154,Taiwan,Tw1
NIC1585,NIC1585,23.58773,121.34154,Taiwan,Tw1
NIC1586,NIC1586,23.58878,121.33879,Taiwan,Tw1
NIC1587,NIC1587,23.58801,121.34578,Taiwan,Tw1
NIC1588,NIC1588,23.58801,121.34578,Taiwan,Tw1
NIC1592,NIC1592,24.68622,121.13734,Taiwan,Tw6
NIC1594,NIC1594,24.68622,121.13734,Taiwan,Tw6
NIC1596,NIC1596,24.6871,121.13633,Taiwan,Tw1
NIC1603,NIC1603,24.68897,121.13965,Taiwan,Tw1
NIC1644,NIC1644,25.06464,121.82481,Taiwan,Tw3
NIC1646,NIC1646,25.06549,121.82703,Taiwan,Tw3
NIC1647,NIC1647,25.06574,121.82753,Taiwan,Tw3
NIC1648,NIC1648,25.06574,121.82753,Taiwan,Tw3
NIC1649,NIC1649,25.06574,121.82753,Taiwan,Tw3
NIC1650,NIC1650,25.06574,121.82753,Taiwan,Tw3
NIC1651,NIC1651,25.02814,121.74912,Taiwan,Tw3
NIC1653,NIC1653,25.02814,121.74912,Taiwan,Tw3
NIC1656,NIC1656,25.02814,121.74912,Taiwan,Tw3
NIC1657,NIC1657,25.02814,121.74912,Taiwan,Tw3
NIC1658,NIC1658,25.02814,121.74912,Taiwan,Tw1
NIC1679,NIC1679,22.08922,120.84876,Taiwan,Tw7
NIC1694,NIC1694,25.02177,121.58537,Taiwan,Tw2
NIC1846,NIC1846,13.1938,-59.637,Caribbean,LAC
NIC1851,NIC1851,14.72499,-61.105335,Caribbean,LAC
NIC1855,NIC1855,14.675129,-61.095721,Caribbean,HC
NIC1856,NIC1856,14.674356,-61.095002,Caribbean,LAC
NIC1862,NIC1862,14.843986,-61.214646,Caribbean,LAC
NIC1877,NIC1877,14.744997,-61.092154,Caribbean,LAC
NIC1879,NIC1879,14.746073,-61.086543,Caribbean,LAC
NIC1881,NIC1881,14.744609,-61.094657,Caribbean,LAC
NIC1886,NIC1886,14.705951,-61.092991,Caribbean,LAC
NIC1911,NIC1911,14.804986,-61.146231,Caribbean,LAC
NIC1912,NIC1912,14.724882,-61.105406,Caribbean,LAC
NIC1913,NIC1913,14.724882,-61.105406,Caribbean,LAC
NIC1914,NIC1914,14.724882,-61.105406,Caribbean,LAC
NIC1915,NIC1915,14.67639,-61.090457,Caribbean,HC
NIC1916,NIC1916,14.67639,-61.090457,Caribbean,HC
NIC1917,NIC1917,14.67639,-61.090457,Caribbean,HC
NIC1918,NIC1918,14.676352,-61.090455,Caribbean,HC
NIC1919,NIC1919,14.676352,-61.090455,Caribbean,HC
NIC192,NIC192,16.0459,-61.6262,Caribbean,HC
NIC1927,NIC1927,14.719237,-61.100187,Caribbean,LAC
NIC1928,NIC1928,14.719237,-61.100187,Caribbean,HC
NIC1929,NIC1929,14.670499,-61.09485,Caribbean,LAC
NIC193,NIC193,16.0207,-61.597,Caribbean,LAC
NIC1939,NIC1939,14.80577,-61.147328,Caribbean,LAC
NIC1941,NIC1941,14.80577,-61.147328,Caribbean,LAC
NIC1950,NIC1950,14.743477,-61.095204,Caribbean,HC
NIC1962,NIC1962,14.744117,-61.093023,Caribbean,LAC
NIC1976,NIC1976,14.67639,-61.090457,Caribbean,LAC
NIC203,NIC203,16.0459,-61.6262,Caribbean,LAC
NIC2355,NIC2355,4.041457996,-52.676275,South America,LAC
NIC2357,NIC2357,4.039690001,-52.67415999,South America,LAC
NIC2360,NIC2360,4.03893102,-52.67661296,South America,LAC
NIC2361,NIC2361,4.038404971,-52.677023,South America,LAC
NIC2362,NIC2362,4.038404971,-52.677023,South America,LAC
NIC2363,NIC2363,4.037193032,-52.67742399,South America,LAC
NIC2364,NIC2364,4.035310037,-52.67778299,South America,LAC
NIC2365,NIC2365,4.038977036,-52.667358,South America,LAC
NIC2366,NIC2366,4.038928002,-52.66763904,South America,LAC
NIC2367,NIC2367,4.038957004,-52.66788497,South America,LAC
NIC2368,NIC2368,4.039645996,-52.67438103,South America,LAC
NIC2371,NIC2371,4.042387968,-52.67838799,South America,LAC
NIC2373,NIC2373,4.042470027,-52.67842798,South America,LAC
NIC2375,NIC2375,4.042458963,-52.67848103,South America,LAC
NIC247,NIC247,16.03608,-61.635025,Caribbean,LAC
NIC249,NIC249,16.0207,-61.597,Caribbean,LAC
NIC280,NIC280,4.08711,-52.67839,South America,LAC
NIC284,NIC284,4.07513,-52.6921,South America,LAC
NIC286,NIC286,4.08808,-52.67976,South America,LAC
NIC291,NIC291,4.092299,-52.675813,South America,LAC
NIC294,NIC294,4.09492,-52.68604,South America,LAC
NIC300,NIC300,4.08969,-52.67731,South America,LAC
NIC311,NIC311,4.09125,-52.67489,South America,LAC
NIC312,NIC312,4.03892,-52.67656,South America,LAC
NIC314,NIC314,4.03715,-52.67214,South America,LAC
NIC321,NIC321,5.53515,-53.56151,South America,LAC
NIC322,NIC322,5.29111,-53.05539,South America,LAC
NIC339,NIC339,5.41305,-53.65004,South America,LAC
NIC344,NIC344,5.41063,-53.6564,South America,LAC
NIC350,NIC350,4.0903,-52.6842,South America,LAC
NIC354,NIC354,4.0881,-52.6753,South America,LAC
NIC359,NIC359,4.0911,-52.68536,South America,LAC
NIC363,NIC363,4.95234,-52.49148,South America,LAC
NIC365,NIC365,4.03617,-52.67805,South America,LAC
NIC372,NIC372,4.03712,-52.67044,South America,LAC
NIC382,NIC382,4.03801,-52.67711,South America,LAC
NIC384,NIC384,4.06126,-52.67946,South America,LAC
NIC387,NIC387,4.03671,-52.67728,South America,LAC
NIC389,NIC389,5.29111,-53.05539,South America,LAC
NIC391,NIC391,4.03715,-52.67126,South America,LAC
NIC393,NIC393,4.04701,-52.67817,South America,LAC
NIC396,NIC396,4.03893,-52.67352,South America,LAC
NIC404,NIC404,5.41011,-53.65462,South America,LAC
NIC407,NIC407,5.41418,-53.65416,South America,LAC
NIC408,NIC408,5.40848,-53.65181,South America,LAC
NIC413,NIC413,4.07244,-52.69034,South America,LAC
NIC416,NIC416,4.03714,-52.67109,South America,LAC
NIC417,NIC417,4.07829,-52.68732,South America,LAC
NIC420,NIC420,5.41089,-53.6565,South America,LAC
NIC422,NIC422,4.03943,-52.67587,South America,LAC
NIC424,NIC424,5.41432,-53.65382,South America,LAC
NIC425,NIC425,5.53544,-53.5634,South America,LAC
NIC426,NIC426,5.41125,-53.65478,South America,LAC
NIC434,NIC434,4.08584,-52.67358,South America,LAC
NIC436,NIC436,4.08678,-52.67515,South America,LAC
NIC441,NIC441,4.08399,-52.67769,South America,LAC
NIC443,NIC443,4.08447,-52.67858,South America,LAC
NIC444,NIC444,4.08422,-52.67452,South America,LAC
NIC445,NIC445,4.08558,-52.67682,South America,LAC
NIC450,NIC450,4.08926,-52.67607,South America,LAC
NIC454,NIC454,4.08318,-52.68343,South America,LAC
NIC458,NIC458,4.08141,-52.68219,South America,LAC
NIC459,NIC459,4.08161,-52.68424,South America,LAC
NIC461,NIC461,4.08318,-52.68343,South America,LAC
NIC468,NIC468,4.0883,-52.67541,South America,LAC
NIC469,NIC469,4.0883,-52.67541,South America,LAC
NIC475,NIC475,4.08631,-52.67243,South America,LAC
NIC478,NIC478,4.08855,-52.67645,South America,LAC
NIC479,NIC479,4.08631,-52.67243,South America,LAC
NIC489,NIC489,4.08695,-52.67731,South America,LAC
NIC491,NIC491,4.08507,-52.68325,South America,LAC
NIC492,NIC492,4.0864,-52.67639,South America,LAC
NIC496,NIC496,4.08803,-52.67552,South America,LAC
NIC51,NIC51,4.08729,-52.68139,South America,LAC
NIC517,NIC517,25.00739,121.900472,Taiwan,Tw3
NIC530,NIC530,24.6,121,Taiwan,Tw3
NIC533,NIC533,16.01855,-61.597903,Caribbean,LAC
NIC535,NIC535,15.23686,-61.34787,Caribbean,LAC
NIC540,NIC540,15.23686,-61.34787,Caribbean,LAC
NIC55,NIC55,4.08225,-52.67965,South America,LAC
NIC551,NIC551,15.56923,-61.3744,Caribbean,LAC
NIC56,NIC56,4.08263,-52.67992,South America,LAC
NIC567,NIC567,15.37806,-61.33964,Caribbean,HC
NIC57,NIC57,4.08658,-52.67928,South America,LAC
NIC570,NIC570,15.47461,-61.29876,Caribbean,HC
NIC571,NIC571,15.47461,-61.29876,Caribbean,HC
NIC572,NIC572,15.47461,-61.29876,Caribbean,HC
NIC575,NIC575,15.40564,-61.34607,Caribbean,LAC
NIC577,NIC577,15.40564,-61.34607,Caribbean,LAC
NIC58,NIC58,4.08731,-52.67866,South America,LAC
NIC584,NIC584,15.40368,-61.34699,Caribbean,HC
NIC585,NIC585,15.40415,-61.34645,Caribbean,LAC
NIC586,NIC586,15.40493,-61.34619,Caribbean,HC
NIC587,NIC587,15.40528,-61.34618,Caribbean,LAC
NIC589,NIC589,15.40528,-61.34618,Caribbean,LAC
NIC591,NIC591,15.40585,-61.34613,Caribbean,LAC
NIC746,NIC746,15.31929,-61.30588,Caribbean,LAC
NIC747,NIC747,15.31566,-61.2969,Caribbean,HC
NIC749,NIC749,15.31568,-61.29654,Caribbean,LAC
NIC751,NIC751,15.39709,-61.31183,Caribbean,LAC
NIC753,NIC753,15.39802,-61.31219,Caribbean,LAC
NIC763,NIC763,15.33997,-61.30419,Caribbean,LAC
NIC773,NIC773,15.3456,-61.30918,Caribbean,LAC
NIC775,NIC775,15.34529,-61.31009,Caribbean,LAC
NIC85,NIC85,4.08533,-52.6751,South America,LAC
NIC894,NIC894,22.01967,121.57357,Taiwan,Tw4
NIC895,NIC895,22.01967,121.57357,Taiwan,Tw4
NIC898,NIC898,22.01967,121.57357,Taiwan,Tw4
NIC903,NIC903,4.04877,-52.67666,South America,LAC
NIC904,NIC904,4.03117,-52.68019,South America,LAC
NIC905,NIC905,4.03799,-52.67317,South America,LAC
NIC907,NIC907,4.04842,-52.67683,South America,LAC
NIC908,NIC908,4.04372,-52.67704,South America,LAC
NIC909,NIC909,4.03955,-52.67374,South America,LAC
NIC91,NIC91,4.08747,-52.67394,South America,LAC
NIC916,NIC916,4.03928,-52.67371,South America,LAC
NIC917,NIC917,4.03446,-52.67816,South America,LAC
NIC920,NIC920,4.04232,-52.68144,South America,LAC
NIC925,NIC925,4.03975,-52.67435,South America,LAC
NIC926,NIC926,4.03837,-52.67075,South America,LAC
NIC927,NIC927,4.04213,-52.68083,South America,LAC
NIC929,NIC929,4.04027,-52.67537,South America,LAC
NIC933,NIC933,4.04237,-52.68256,South America,LAC
NIC934,NIC934,4.04783,-52.67766,South America,LAC
NIC936,NIC936,4.03149,-52.68573,South America,LAC
NIC938,NIC938,4.03397,-52.67852,South America,LAC
NIC939,NIC939,4.03128,-52.68028,South America,LAC
NIC94,NIC94,4.08747,-52.67394,South America,LAC
NIC940,NIC940,4.03091,-52.68124,South America,LAC
NIC941,NIC941,4.03687,-52.67743,South America,LAC
NIC942,NIC942,4.04007,-52.67494,South America,LAC
NIC944,NIC944,4.03799,-52.6772,South America,LAC
NIC945,NIC945,4.03707,-52.6772,South America,LAC
NIC947,NIC947,4.03997,-52.67496,South America,LAC
NIC948,NIC948,4.03711,-52.67206,South America,LAC
NIC952,NIC952,4.03894,-52.66867,South America,LAC
NIC953,NIC953,4.03828,-52.6715,South America,LAC
NIC955,NIC955,4.04973,-52.67652,South America,LAC
NIC956,NIC956,4.0401,-52.67504,South America,LAC
NIC957,NIC957,4.03952,-52.67598,South America,LAC
NIC958,NIC958,4.03502,-52.67796,South America,LAC
NIC959,NIC959,4.03201,-52.68039,South America,LAC
NIC961,NIC961,4.03726,-52.67143,South America,LAC
NIC962,NIC962,4.03875,-52.6677,South America,LAC
NIC964,NIC964,4.03701,-52.67172,South America,LAC
NIC965,NIC965,4.03701,-52.67172,South America,LAC
NIC970,NIC970,4.03085,-52.68408,South America,LAC
NIC972,NIC972,4.03701,-52.67172,South America,LAC
NIC975,NIC975,4.03819,-52.67066,South America,LAC
NIC977,NIC977,4.03819,-52.67066,South America,LAC
NIC980,NIC980,4.03822,-52.67031,South America,LAC
NIC983,NIC983,4.03848,-52.67002,South America,LAC
NIC986,NIC986,4.03726,-52.67243,South America,LAC
