strain	bam	bai	coverage	percent_mapped
NIC1000	NIC1000.bam	NIC1000.bam.bai	0	0
NIC1004	NIC1004.bam	NIC1004.bam.bai	0	0
NIC1005	NIC1005.bam	NIC1005.bam.bai	0	0
NIC1012	NIC1012.bam	NIC1012.bam.bai	0	0
NIC1016	NIC1016.bam	NIC1016.bam.bai	0	0
NIC1028	NIC1028.bam	NIC1028.bam.bai	0	0
NIC1033	NIC1033.bam	NIC1033.bam.bai	0	0
NIC1038	NIC1038.bam	NIC1038.bam.bai	0	0
NIC105	NIC105.bam	NIC105.bam.bai	0	0
NIC1112	NIC1112.bam	NIC1112.bam.bai	0	0
NIC1116	NIC1116.bam	NIC1116.bam.bai	0	0
NIC1121	NIC1121.bam	NIC1121.bam.bai	0	0
NIC1126	NIC1126.bam	NIC1126.bam.bai	0	0
NIC1132	NIC1132.bam	NIC1132.bam.bai	0	0
NIC1136	NIC1136.bam	NIC1136.bam.bai	0	0
NIC1137	NIC1137.bam	NIC1137.bam.bai	0	0
NIC114	NIC114.bam	NIC114.bam.bai	0	0
NIC1140	NIC1140.bam	NIC1140.bam.bai	0	0
NIC1142	NIC1142.bam	NIC1142.bam.bai	0	0
NIC1144	NIC1144.bam	NIC1144.bam.bai	0	0
NIC1145	NIC1145.bam	NIC1145.bam.bai	0	0
NIC1146	NIC1146.bam	NIC1146.bam.bai	0	0
NIC1147	NIC1147.bam	NIC1147.bam.bai	0	0
NIC1149	NIC1149.bam	NIC1149.bam.bai	0	0
NIC1150	NIC1150.bam	NIC1150.bam.bai	0	0
NIC1151	NIC1151.bam	NIC1151.bam.bai	0	0
NIC1152	NIC1152.bam	NIC1152.bam.bai	0	0
NIC1153	NIC1153.bam	NIC1153.bam.bai	0	0
NIC1155	NIC1155.bam	NIC1155.bam.bai	0	0
NIC1156	NIC1156.bam	NIC1156.bam.bai	0	0
NIC1157	NIC1157.bam	NIC1157.bam.bai	0	0
NIC1160	NIC1160.bam	NIC1160.bam.bai	0	0
NIC1161	NIC1161.bam	NIC1161.bam.bai	0	0
NIC1163	NIC1163.bam	NIC1163.bam.bai	0	0
NIC1164	NIC1164.bam	NIC1164.bam.bai	0	0
NIC1165	NIC1165.bam	NIC1165.bam.bai	0	0
NIC1167	NIC1167.bam	NIC1167.bam.bai	0	0
NIC1168	NIC1168.bam	NIC1168.bam.bai	0	0
NIC1169	NIC1169.bam	NIC1169.bam.bai	0	0
NIC1170	NIC1170.bam	NIC1170.bam.bai	0	0
NIC1175	NIC1175.bam	NIC1175.bam.bai	0	0
NIC1176	NIC1176.bam	NIC1176.bam.bai	0	0
NIC1177	NIC1177.bam	NIC1177.bam.bai	0	0
NIC1179	NIC1179.bam	NIC1179.bam.bai	0	0
NIC1180	NIC1180.bam	NIC1180.bam.bai	0	0
NIC1181	NIC1181.bam	NIC1181.bam.bai	0	0
NIC1188	NIC1188.bam	NIC1188.bam.bai	0	0
NIC1192	NIC1192.bam	NIC1192.bam.bai	0	0
NIC1193	NIC1193.bam	NIC1193.bam.bai	0	0
NIC122	NIC122.bam	NIC122.bam.bai	0	0
NIC124	NIC124.bam	NIC124.bam.bai	0	0
NIC125	NIC125.bam	NIC125.bam.bai	0	0
NIC1252	NIC1252.bam	NIC1252.bam.bai	0	0
NIC1254	NIC1254.bam	NIC1254.bam.bai	0	0
NIC1257	NIC1257.bam	NIC1257.bam.bai	0	0
NIC1268	NIC1268.bam	NIC1268.bam.bai	0	0
NIC1270	NIC1270.bam	NIC1270.bam.bai	0	0
NIC1272	NIC1272.bam	NIC1272.bam.bai	0	0
NIC1275	NIC1275.bam	NIC1275.bam.bai	0	0
NIC1276	NIC1276.bam	NIC1276.bam.bai	0	0
NIC1277	NIC1277.bam	NIC1277.bam.bai	0	0
NIC1278	NIC1278.bam	NIC1278.bam.bai	0	0
NIC129	NIC129.bam	NIC129.bam.bai	0	0
NIC1290	NIC1290.bam	NIC1290.bam.bai	0	0
NIC1293	NIC1293.bam	NIC1293.bam.bai	0	0
NIC1300	NIC1300.bam	NIC1300.bam.bai	0	0
NIC1301	NIC1301.bam	NIC1301.bam.bai	0	0
NIC1305	NIC1305.bam	NIC1305.bam.bai	0	0
NIC1307	NIC1307.bam	NIC1307.bam.bai	0	0
NIC1309	NIC1309.bam	NIC1309.bam.bai	0	0
NIC1313	NIC1313.bam	NIC1313.bam.bai	0	0
NIC1316	NIC1316.bam	NIC1316.bam.bai	0	0
NIC1317	NIC1317.bam	NIC1317.bam.bai	0	0
NIC1321	NIC1321.bam	NIC1321.bam.bai	0	0
NIC1323	NIC1323.bam	NIC1323.bam.bai	0	0
NIC1328	NIC1328.bam	NIC1328.bam.bai	0	0
NIC1337	NIC1337.bam	NIC1337.bam.bai	0	0
NIC1338	NIC1338.bam	NIC1338.bam.bai	0	0
NIC1341	NIC1341.bam	NIC1341.bam.bai	0	0
NIC1343	NIC1343.bam	NIC1343.bam.bai	0	0
NIC1344	NIC1344.bam	NIC1344.bam.bai	0	0
NIC1354	NIC1354.bam	NIC1354.bam.bai	0	0
NIC1355	NIC1355.bam	NIC1355.bam.bai	0	0
NIC1359	NIC1359.bam	NIC1359.bam.bai	0	0
NIC1363	NIC1363.bam	NIC1363.bam.bai	0	0
NIC1372	NIC1372.bam	NIC1372.bam.bai	0	0
NIC1376	NIC1376.bam	NIC1376.bam.bai	0	0
NIC1378	NIC1378.bam	NIC1378.bam.bai	0	0
NIC1381	NIC1381.bam	NIC1381.bam.bai	0	0
NIC1382	NIC1382.bam	NIC1382.bam.bai	0	0
NIC1383	NIC1383.bam	NIC1383.bam.bai	0	0
NIC1384	NIC1384.bam	NIC1384.bam.bai	0	0
NIC1386	NIC1386.bam	NIC1386.bam.bai	0	0
NIC1387	NIC1387.bam	NIC1387.bam.bai	0	0
NIC1389	NIC1389.bam	NIC1389.bam.bai	0	0
NIC1391	NIC1391.bam	NIC1391.bam.bai	0	0
NIC1392	NIC1392.bam	NIC1392.bam.bai	0	0
NIC1393	NIC1393.bam	NIC1393.bam.bai	0	0
NIC1395	NIC1395.bam	NIC1395.bam.bai	0	0
NIC1400	NIC1400.bam	NIC1400.bam.bai	0	0
NIC1405	NIC1405.bam	NIC1405.bam.bai	0	0
NIC1408	NIC1408.bam	NIC1408.bam.bai	0	0
NIC1410	NIC1410.bam	NIC1410.bam.bai	0	0
NIC1411	NIC1411.bam	NIC1411.bam.bai	0	0
NIC1415	NIC1415.bam	NIC1415.bam.bai	0	0
NIC1419	NIC1419.bam	NIC1419.bam.bai	0	0
NIC1420	NIC1420.bam	NIC1420.bam.bai	0	0
NIC1422	NIC1422.bam	NIC1422.bam.bai	0	0
NIC1425	NIC1425.bam	NIC1425.bam.bai	0	0
NIC1430	NIC1430.bam	NIC1430.bam.bai	0	0
NIC1432	NIC1432.bam	NIC1432.bam.bai	0	0
NIC1433	NIC1433.bam	NIC1433.bam.bai	0	0
NIC1438	NIC1438.bam	NIC1438.bam.bai	0	0
NIC1453	NIC1453.bam	NIC1453.bam.bai	0	0
NIC1470	NIC1470.bam	NIC1470.bam.bai	0	0
NIC1476	NIC1476.bam	NIC1476.bam.bai	0	0
NIC1477	NIC1477.bam	NIC1477.bam.bai	0	0
NIC1478	NIC1478.bam	NIC1478.bam.bai	0	0
NIC1514	NIC1514.bam	NIC1514.bam.bai	0	0
NIC1526	NIC1526.bam	NIC1526.bam.bai	0	0
NIC1531	NIC1531.bam	NIC1531.bam.bai	0	0
NIC1534	NIC1534.bam	NIC1534.bam.bai	0	0
NIC1541	NIC1541.bam	NIC1541.bam.bai	0	0
NIC1542	NIC1542.bam	NIC1542.bam.bai	0	0
NIC1543	NIC1543.bam	NIC1543.bam.bai	0	0
NIC1544	NIC1544.bam	NIC1544.bam.bai	0	0
NIC1545	NIC1545.bam	NIC1545.bam.bai	0	0
NIC1546	NIC1546.bam	NIC1546.bam.bai	0	0
NIC1547	NIC1547.bam	NIC1547.bam.bai	0	0
NIC1548	NIC1548.bam	NIC1548.bam.bai	0	0
NIC1549	NIC1549.bam	NIC1549.bam.bai	0	0
NIC1550	NIC1550.bam	NIC1550.bam.bai	0	0
NIC1551	NIC1551.bam	NIC1551.bam.bai	0	0
NIC1553	NIC1553.bam	NIC1553.bam.bai	0	0
NIC1555	NIC1555.bam	NIC1555.bam.bai	0	0
NIC1556	NIC1556.bam	NIC1556.bam.bai	0	0
NIC1557	NIC1557.bam	NIC1557.bam.bai	0	0
NIC1559	NIC1559.bam	NIC1559.bam.bai	0	0
NIC1560	NIC1560.bam	NIC1560.bam.bai	0	0
NIC1561	NIC1561.bam	NIC1561.bam.bai	0	0
NIC1563	NIC1563.bam	NIC1563.bam.bai	0	0
NIC1564	NIC1564.bam	NIC1564.bam.bai	0	0
NIC1565	NIC1565.bam	NIC1565.bam.bai	0	0
NIC1583	NIC1583.bam	NIC1583.bam.bai	0	0
NIC1584	NIC1584.bam	NIC1584.bam.bai	0	0
NIC1585	NIC1585.bam	NIC1585.bam.bai	0	0
NIC1586	NIC1586.bam	NIC1586.bam.bai	0	0
NIC1587	NIC1587.bam	NIC1587.bam.bai	0	0
NIC1588	NIC1588.bam	NIC1588.bam.bai	0	0
NIC1592	NIC1592.bam	NIC1592.bam.bai	0	0
NIC1594	NIC1594.bam	NIC1594.bam.bai	0	0
NIC1596	NIC1596.bam	NIC1596.bam.bai	0	0
NIC1603	NIC1603.bam	NIC1603.bam.bai	0	0
NIC1644	NIC1644.bam	NIC1644.bam.bai	0	0
NIC1646	NIC1646.bam	NIC1646.bam.bai	0	0
NIC1647	NIC1647.bam	NIC1647.bam.bai	0	0
NIC1648	NIC1648.bam	NIC1648.bam.bai	0	0
NIC1649	NIC1649.bam	NIC1649.bam.bai	0	0
NIC1650	NIC1650.bam	NIC1650.bam.bai	0	0
NIC1651	NIC1651.bam	NIC1651.bam.bai	0	0
NIC1653	NIC1653.bam	NIC1653.bam.bai	0	0
NIC1656	NIC1656.bam	NIC1656.bam.bai	0	0
NIC1657	NIC1657.bam	NIC1657.bam.bai	0	0
NIC1658	NIC1658.bam	NIC1658.bam.bai	0	0
NIC1679	NIC1679.bam	NIC1679.bam.bai	0	0
NIC1694	NIC1694.bam	NIC1694.bam.bai	0	0
NIC1846	NIC1846.bam	NIC1846.bam.bai	0	0
NIC1851	NIC1851.bam	NIC1851.bam.bai	0	0
NIC1855	NIC1855.bam	NIC1855.bam.bai	0	0
NIC1856	NIC1856.bam	NIC1856.bam.bai	0	0
NIC1862	NIC1862.bam	NIC1862.bam.bai	0	0
NIC1877	NIC1877.bam	NIC1877.bam.bai	0	0
NIC1879	NIC1879.bam	NIC1879.bam.bai	0	0
NIC1881	NIC1881.bam	NIC1881.bam.bai	0	0
NIC1886	NIC1886.bam	NIC1886.bam.bai	0	0
NIC1911	NIC1911.bam	NIC1911.bam.bai	0	0
NIC1912	NIC1912.bam	NIC1912.bam.bai	0	0
NIC1913	NIC1913.bam	NIC1913.bam.bai	0	0
NIC1914	NIC1914.bam	NIC1914.bam.bai	0	0
NIC1915	NIC1915.bam	NIC1915.bam.bai	0	0
NIC1916	NIC1916.bam	NIC1916.bam.bai	0	0
NIC1917	NIC1917.bam	NIC1917.bam.bai	0	0
NIC1918	NIC1918.bam	NIC1918.bam.bai	0	0
NIC1919	NIC1919.bam	NIC1919.bam.bai	0	0
NIC192	NIC192.bam	NIC192.bam.bai	0	0
NIC1927	NIC1927.bam	NIC1927.bam.bai	0	0
NIC1928	NIC1928.bam	NIC1928.bam.bai	0	0
NIC1929	NIC1929.bam	NIC1929.bam.bai	0	0
NIC193	NIC193.bam	NIC193.bam.bai	0	0
NIC1939	NIC1939.bam	NIC1939.bam.bai	0	0
NIC1941	NIC1941.bam	NIC1941.bam.bai	0	0
NIC1950	NIC1950.bam	NIC1950.bam.bai	0	0
NIC1962	NIC1962.bam	NIC1962.bam.bai	0	0
NIC1976	NIC1976.bam	NIC1976.bam.bai	0	0
NIC203	NIC203.bam	NIC203.bam.bai	0	0
NIC2355	NIC2355.bam	NIC2355.bam.bai	0	0
NIC2357	NIC2357.bam	NIC2357.bam.bai	0	0
NIC2360	NIC2360.bam	NIC2360.bam.bai	0	0
NIC2361	NIC2361.bam	NIC2361.bam.bai	0	0
NIC2362	NIC2362.bam	NIC2362.bam.bai	0	0
NIC2363	NIC2363.bam	NIC2363.bam.bai	0	0
NIC2364	NIC2364.bam	NIC2364.bam.bai	0	0
NIC2365	NIC2365.bam	NIC2365.bam.bai	0	0
NIC2366	NIC2366.bam	NIC2366.bam.bai	0	0
NIC2367	NIC2367.bam	NIC2367.bam.bai	0	0
NIC2368	NIC2368.bam	NIC2368.bam.bai	0	0
NIC2371	NIC2371.bam	NIC2371.bam.bai	0	0
NIC2373	NIC2373.bam	NIC2373.bam.bai	0	0
NIC2375	NIC2375.bam	NIC2375.bam.bai	0	0
NIC247	NIC247.bam	NIC247.bam.bai	0	0
NIC249	NIC249.bam	NIC249.bam.bai	0	0
NIC280	NIC280.bam	NIC280.bam.bai	0	0
NIC284	NIC284.bam	NIC284.bam.bai	0	0
NIC286	NIC286.bam	NIC286.bam.bai	0	0
NIC291	NIC291.bam	NIC291.bam.bai	0	0
NIC294	NIC294.bam	NIC294.bam.bai	0	0
NIC300	NIC300.bam	NIC300.bam.bai	0	0
NIC311	NIC311.bam	NIC311.bam.bai	0	0
NIC312	NIC312.bam	NIC312.bam.bai	0	0
NIC314	NIC314.bam	NIC314.bam.bai	0	0
NIC321	NIC321.bam	NIC321.bam.bai	0	0
NIC322	NIC322.bam	NIC322.bam.bai	0	0
NIC339	NIC339.bam	NIC339.bam.bai	0	0
NIC344	NIC344.bam	NIC344.bam.bai	0	0
NIC350	NIC350.bam	NIC350.bam.bai	0	0
NIC354	NIC354.bam	NIC354.bam.bai	0	0
NIC359	NIC359.bam	NIC359.bam.bai	0	0
NIC363	NIC363.bam	NIC363.bam.bai	0	0
NIC365	NIC365.bam	NIC365.bam.bai	0	0
NIC372	NIC372.bam	NIC372.bam.bai	0	0
NIC382	NIC382.bam	NIC382.bam.bai	0	0
NIC384	NIC384.bam	NIC384.bam.bai	0	0
NIC387	NIC387.bam	NIC387.bam.bai	0	0
NIC389	NIC389.bam	NIC389.bam.bai	0	0
NIC391	NIC391.bam	NIC391.bam.bai	0	0
NIC393	NIC393.bam	NIC393.bam.bai	0	0
NIC396	NIC396.bam	NIC396.bam.bai	0	0
NIC404	NIC404.bam	NIC404.bam.bai	0	0
NIC407	NIC407.bam	NIC407.bam.bai	0	0
NIC408	NIC408.bam	NIC408.bam.bai	0	0
NIC413	NIC413.bam	NIC413.bam.bai	0	0
NIC416	NIC416.bam	NIC416.bam.bai	0	0
NIC417	NIC417.bam	NIC417.bam.bai	0	0
NIC420	NIC420.bam	NIC420.bam.bai	0	0
NIC422	NIC422.bam	NIC422.bam.bai	0	0
NIC424	NIC424.bam	NIC424.bam.bai	0	0
NIC425	NIC425.bam	NIC425.bam.bai	0	0
NIC426	NIC426.bam	NIC426.bam.bai	0	0
NIC434	NIC434.bam	NIC434.bam.bai	0	0
NIC436	NIC436.bam	NIC436.bam.bai	0	0
NIC441	NIC441.bam	NIC441.bam.bai	0	0
NIC443	NIC443.bam	NIC443.bam.bai	0	0
NIC444	NIC444.bam	NIC444.bam.bai	0	0
NIC445	NIC445.bam	NIC445.bam.bai	0	0
NIC450	NIC450.bam	NIC450.bam.bai	0	0
NIC454	NIC454.bam	NIC454.bam.bai	0	0
NIC458	NIC458.bam	NIC458.bam.bai	0	0
NIC459	NIC459.bam	NIC459.bam.bai	0	0
NIC461	NIC461.bam	NIC461.bam.bai	0	0
NIC468	NIC468.bam	NIC468.bam.bai	0	0
NIC469	NIC469.bam	NIC469.bam.bai	0	0
NIC475	NIC475.bam	NIC475.bam.bai	0	0
NIC478	NIC478.bam	NIC478.bam.bai	0	0
NIC479	NIC479.bam	NIC479.bam.bai	0	0
NIC489	NIC489.bam	NIC489.bam.bai	0	0
NIC491	NIC491.bam	NIC491.bam.bai	0	0
NIC492	NIC492.bam	NIC492.bam.bai	0	0
NIC496	NIC496.bam	NIC496.bam.bai	0	0
NIC51	NIC51.bam	NIC51.bam.bai	0	0
NIC517	NIC517.bam	NIC517.bam.bai	0	0
NIC530	NIC530.bam	NIC530.bam.bai	0	0
NIC533	NIC533.bam	NIC533.bam.bai	0	0
NIC535	NIC535.bam	NIC535.bam.bai	0	0
NIC540	NIC540.bam	NIC540.bam.bai	0	0
NIC55	NIC55.bam	NIC55.bam.bai	0	0
NIC551	NIC551.bam	NIC551.bam.bai	0	0
NIC56	NIC56.bam	NIC56.bam.bai	0	0
NIC567	NIC567.bam	NIC567.bam.bai	0	0
NIC57	NIC57.bam	NIC57.bam.bai	0	0
NIC570	NIC570.bam	NIC570.bam.bai	0	0
NIC571	NIC571.bam	NIC571.bam.bai	0	0
NIC572	NIC572.bam	NIC572.bam.bai	0	0
NIC575	NIC575.bam	NIC575.bam.bai	0	0
NIC577	NIC577.bam	NIC577.bam.bai	0	0
NIC58	NIC58.bam	NIC58.bam.bai	0	0
NIC584	NIC584.bam	NIC584.bam.bai	0	0
NIC585	NIC585.bam	NIC585.bam.bai	0	0
NIC586	NIC586.bam	NIC586.bam.bai	0	0
NIC587	NIC587.bam	NIC587.bam.bai	0	0
NIC589	NIC589.bam	NIC589.bam.bai	0	0
NIC591	NIC591.bam	NIC591.bam.bai	0	0
NIC746	NIC746.bam	NIC746.bam.bai	0	0
NIC747	NIC747.bam	NIC747.bam.bai	0	0
NIC749	NIC749.bam	NIC749.bam.bai	0	0
NIC751	NIC751.bam	NIC751.bam.bai	0	0
NIC753	NIC753.bam	NIC753.bam.bai	0	0
NIC763	NIC763.bam	NIC763.bam.bai	0	0
NIC773	NIC773.bam	NIC773.bam.bai	0	0
NIC775	NIC775.bam	NIC775.bam.bai	0	0
NIC85	NIC85.bam	NIC85.bam.bai	0	0
NIC894	NIC894.bam	NIC894.bam.bai	0	0
NIC895	NIC895.bam	NIC895.bam.bai	0	0
NIC898	NIC898.bam	NIC898.bam.bai	0	0
NIC903	NIC903.bam	NIC903.bam.bai	0	0
NIC904	NIC904.bam	NIC904.bam.bai	0	0
NIC905	NIC905.bam	NIC905.bam.bai	0	0
NIC907	NIC907.bam	NIC907.bam.bai	0	0
NIC908	NIC908.bam	NIC908.bam.bai	0	0
NIC909	NIC909.bam	NIC909.bam.bai	0	0
NIC91	NIC91.bam	NIC91.bam.bai	0	0
NIC916	NIC916.bam	NIC916.bam.bai	0	0
NIC917	NIC917.bam	NIC917.bam.bai	0	0
NIC920	NIC920.bam	NIC920.bam.bai	0	0
NIC925	NIC925.bam	NIC925.bam.bai	0	0
NIC926	NIC926.bam	NIC926.bam.bai	0	0
NIC927	NIC927.bam	NIC927.bam.bai	0	0
NIC929	NIC929.bam	NIC929.bam.bai	0	0
NIC933	NIC933.bam	NIC933.bam.bai	0	0
NIC934	NIC934.bam	NIC934.bam.bai	0	0
NIC936	NIC936.bam	NIC936.bam.bai	0	0
NIC938	NIC938.bam	NIC938.bam.bai	0	0
NIC939	NIC939.bam	NIC939.bam.bai	0	0
NIC94	NIC94.bam	NIC94.bam.bai	0	0
NIC940	NIC940.bam	NIC940.bam.bai	0	0
NIC941	NIC941.bam	NIC941.bam.bai	0	0
NIC942	NIC942.bam	NIC942.bam.bai	0	0
NIC944	NIC944.bam	NIC944.bam.bai	0	0
NIC945	NIC945.bam	NIC945.bam.bai	0	0
NIC947	NIC947.bam	NIC947.bam.bai	0	0
NIC948	NIC948.bam	NIC948.bam.bai	0	0
NIC952	NIC952.bam	NIC952.bam.bai	0	0
NIC953	NIC953.bam	NIC953.bam.bai	0	0
NIC955	NIC955.bam	NIC955.bam.bai	0	0
NIC956	NIC956.bam	NIC956.bam.bai	0	0
NIC957	NIC957.bam	NIC957.bam.bai	0	0
NIC958	NIC958.bam	NIC958.bam.bai	0	0
NIC959	NIC959.bam	NIC959.bam.bai	0	0
NIC961	NIC961.bam	NIC961.bam.bai	0	0
NIC962	NIC962.bam	NIC962.bam.bai	0	0
NIC964	NIC964.bam	NIC964.bam.bai	0	0
NIC965	NIC965.bam	NIC965.bam.bai	0	0
NIC970	NIC970.bam	NIC970.bam.bai	0	0
NIC972	NIC972.bam	NIC972.bam.bai	0	0
NIC975	NIC975.bam	NIC975.bam.bai	0	0
NIC977	NIC977.bam	NIC977.bam.bai	0	0
NIC980	NIC980.bam	NIC980.bam.bai	0	0
NIC983	NIC983.bam	NIC983.bam.bai	0	0
NIC986	NIC986.bam	NIC986.bam.bai	0	0
NIC987	NIC987.bam	NIC987.bam.bai	0	0
NIC988	NIC988.bam	NIC988.bam.bai	0	0
NIC989	NIC989.bam	NIC989.bam.bai	0	0
NIC99	NIC99.bam	NIC99.bam.bai	0	0
NIC993	NIC993.bam	NIC993.bam.bai	0	0
NIC994	NIC994.bam	NIC994.bam.bai	0	0
NIC999	NIC999.bam	NIC999.bam.bai	0	0
QG1000	QG1000.bam	QG1000.bam.bai	0	0
QG1004	QG1004.bam	QG1004.bam.bai	0	0
QG131	QG131.bam	QG131.bam.bai	0	0
QG2716	QG2716.bam	QG2716.bam.bai	0	0
QG2724	QG2724.bam	QG2724.bam.bai	0	0
QG2726	QG2726.bam	QG2726.bam.bai	0	0
QG2770	QG2770.bam	QG2770.bam.bai	0	0
QG2896	QG2896.bam	QG2896.bam.bai	0	0
QG2897	QG2897.bam	QG2897.bam.bai	0	0
QG2898	QG2898.bam	QG2898.bam.bai	0	0
QG2899	QG2899.bam	QG2899.bam.bai	0	0
QG2904	QG2904.bam	QG2904.bam.bai	0	0
QG2905	QG2905.bam	QG2905.bam.bai	0	0
