"","samples","cluster","frac_cluster","max_frac","strain","lat","long","geo","Lineage"
"80","NIC2373","A",1e-05,0.615847,"NIC2373",4.042470027,-52.67842798,"South America","LAC"
"81","QG3863","A",1e-05,0.616658,"QG3863",10.42974,-84.00938,"Central America","LAC"
"82","QG2726","A",1e-05,0.616765,"QG2726",9.1598,-79.8399,"Central America","LAC"
"83","NIC1393","A",1e-05,0.623087,"NIC1393",3.621482989,-53.21409596,"South America","LAC"
"84","NIC2360","A",1e-05,0.625872,"NIC2360",4.03893102,-52.67661296,"South America","LAC"
"85","QG3848","A",1e-05,0.626934,"QG3848",10.43082,-84.01138,"Central America","LAC"
"86","JU1635","A",1e-05,0.628522,"JU1635",17.121,-25.0492,"Africa","LAC"
"87","QG3880","A",1e-05,0.628917,"QG3880",10.43089,-84.00684,"Central America","LAC"
"88","NIC478","A",1e-05,0.633055,"NIC478",4.08855,-52.67645,"South America","LAC"
"89","QG131","A",1e-05,0.635195,"QG131",22.22955,-159.4764,"Hawaii","HC"
"90","NIC424","A",1e-05,0.638068,"NIC424",5.41432,-53.65382,"South America","LAC"
"91","NIC2375","A",1e-05,0.6408,"NIC2375",4.042458963,-52.67848103,"South America","LAC"
"92","QG3795","A",1e-05,0.647267,"QG3795",10.42608333,-84.0092,"Central America","LAC"
"93","NIC1372","A",1e-05,0.649136,"NIC1372",4.081040025,-52.68228097,"South America","LAC"
"94","NIC945","A",1e-05,0.649575,"NIC945",4.03707,-52.6772,"South America","LAC"
"95","NIC1177","A",1e-05,0.651781,"NIC1177",-12.881345,-69.49006297,"South America","LAC"
"96","QG3786","A",1e-05,0.653421,"QG3786",10.42963,-84.00833,"Central America","LAC"
"97","NIC314","A",1e-05,0.65363,"NIC314",4.03715,-52.67214,"South America","LAC"
"98","QG3868","A",1e-05,0.65608,"QG3868",10.43888,-84.01353,"Central America","LAC"
"99","QG3845","A",1e-05,0.658577,"QG3845",10.43082,-84.01138,"Central America","LAC"
"100","NIC454","A",1e-05,0.659486,"NIC454",4.08318,-52.68343,"South America","LAC"
"101","NIC461","A",1e-05,0.659486,"NIC461",4.08318,-52.68343,"South America","LAC"
"102","NIC1976","A",0.665417,0.665417,"NIC1976",14.67639,-61.090457,"Caribbean","LAC"
"103","NIC2367","A",0.008232,0.666153,"NIC2367",4.038957004,-52.66788497,"South America","LAC"
"104","NIC917","A",1e-05,0.666376,"NIC917",4.03446,-52.67816,"South America","LAC"
"105","NIC1163","A",1e-05,0.666496,"NIC1163",-12.875965,-69.49581496,"South America","LAC"
"106","NIC1192","A",1e-05,0.666593,"NIC1192",-12.849763,-69.45771201,"South America","LAC"
"107","NIC1126","A",1e-05,0.672174,"NIC1126",-12.874715,-69.49602501,"South America","LAC"
"108","NIC1563","A",1e-05,0.672505,"NIC1563",25.00481,121.73369,"Taiwan","Tw5"
"109","NIC459","A",1e-05,0.673883,"NIC459",4.08161,-52.68424,"South America","LAC"
"110","NIC1939","A",0.673971,0.673971,"NIC1939",14.80577,-61.147328,"Caribbean","LAC"
"111","NIC56","A",1e-05,0.674397,"NIC56",4.08263,-52.67992,"South America","LAC"
"112","NIC420","A",1e-05,0.677403,"NIC420",5.41089,-53.6565,"South America","LAC"
"113","NIC393","A",1e-05,0.678167,"NIC393",4.04701,-52.67817,"South America","LAC"
"114","NIC458","A",1e-05,0.678619,"NIC458",4.08141,-52.68219,"South America","LAC"
"115","NIC1928","A",1e-05,0.679066,"NIC1928",14.719237,-61.100187,"Caribbean","HC"
"116","NIC1476","A",1e-05,0.679946,"NIC1476",4.086242002,-52.67756699,"South America","LAC"
"117","JU1845","A",1e-05,0.680808,"JU1845",4.089583,-52.67705,"South America","LAC"
"118","NIC1879","A",0.317234,0.6825,"NIC1879",14.746073,-61.086543,"Caribbean","LAC"
"119","ECA799","A",1e-05,0.685057,"ECA799",19.589467,-155.068069,"Hawaii","HC"
"120","NIC1381","A",1e-05,0.687119,"NIC1381",4.039456984,-52.67586404,"South America","LAC"
"121","QG3817","A",1e-05,0.693599,"QG3817",10.42972,-84.00742,"Central America","LAC"
"122","NIC1268","A",1e-05,0.694958,"NIC1268",3.608203959,-53.175201,"South America","LAC"
"123","QG3831","A",1e-05,0.697413,"QG3831",10.43182,-84.01499,"Central America","LAC"
"124","QG3829","A",1e-05,0.698891,"QG3829",10.42346389,-84.00128333,"Central America","LAC"
"125","NIC905","A",1e-05,0.699239,"NIC905",4.03799,-52.67317,"South America","LAC"
"126","QG3834","A",1e-05,0.699286,"QG3834",10.42972,-84.00718,"Central America","LAC"
