group	strain	isotype	isotype_ref_strain
334	NIC374	NIC387	NIC387
334	NIC387	NIC387	NIC387
334	NIC390	NIC387	NIC387
335	NIC375	NIC416	NIC416
335	NIC383	NIC416	NIC416
335	NIC416	NIC416	NIC416
336	NIC378	NIC389	NIC389
336	NIC389	NIC389	NIC389
337	NIC380	NIC925	NIC925
337	NIC925	NIC925	NIC925
338	NIC382	NIC382	NIC382
339	NIC384	NIC384	NIC384
340	NIC391	NIC391	NIC391
341	NIC393	NIC393	NIC393
342	NIC396	NIC396	NIC396
343	NIC403	NIC404	NIC404
343	NIC404	NIC404	NIC404
343	NIC405	NIC404	NIC404
343	NIC409	NIC404	NIC404
344	NIC407	NIC407	NIC407
345	NIC408	NIC408	NIC408
346	NIC413	NIC413	NIC413
347	NIC417	NIC417	NIC417
348	NIC420	NIC420	NIC420
349	NIC422	NIC422	NIC422
350	NIC424	NIC424	NIC424
351	NIC425	NIC425	NIC425
352	NIC426	NIC426	NIC426
353	NIC434	NIC434	NIC434
354	NIC436	NIC436	NIC436
355	NIC441	NIC441	NIC441
356	NIC443	NIC443	NIC443
357	NIC444	NIC444	NIC444
358	NIC445	NIC445	NIC445
359	NIC450	NIC450	NIC450
360	NIC454	NIC454	NIC454
361	NIC458	NIC458	NIC458
362	NIC459	NIC459	NIC459
363	NIC461	NIC461	NIC461
364	NIC468	NIC468	NIC468
364	NIC472	NIC468	NIC468
365	NIC469	NIC469	NIC469
366	NIC475	NIC475	NIC475
367	NIC478	NIC478	NIC478
368	NIC479	NIC479	NIC479
369	NIC489	NIC489	NIC489
370	NIC491	NIC491	NIC491
371	NIC492	NIC492	NIC492
372	NIC496	NIC496	NIC496
373	NIC51	NIC51	NIC51
373	NIC90	NIC51	NIC51
374	NIC517	NIC517	NIC517
375	NIC530	NIC530	NIC530
376	NIC533	NIC533	NIC533
377	NIC535	NIC535	NIC535
377	NIC536	NIC535	NIC535
378	NIC540	NIC540	NIC540
379	NIC547	NIC589	NIC589
379	NIC580	NIC589	NIC589
379	NIC588	NIC589	NIC589
379	NIC589	NIC589	NIC589
379	NIC594	NIC589	NIC589
380	NIC55	NIC55	NIC55
381	NIC550	NIC551	NIC551
381	NIC551	NIC551	NIC551
382	NIC56	NIC56	NIC56
383	NIC563	NIC746	NIC746
383	NIC581	NIC746	NIC746
383	NIC746	NIC746	NIC746
384	NIC567	NIC567	NIC567
385	NIC568	NIC587	NIC587
385	NIC587	NIC587	NIC587
385	NIC598	NIC587	NIC587
386	NIC57	NIC57	NIC57
387	NIC570	NIC570	NIC570
387	NIC761	NIC570	NIC570
388	NIC571	NIC571	NIC571
388	NIC573	NIC571	NIC571
388	NIC592	NIC571	NIC571
389	NIC572	NIC572	NIC572
390	NIC575	NIC575	NIC575
391	NIC577	NIC577	NIC577
391	NIC579	NIC577	NIC577
391	NIC750	NIC577	NIC577
392	NIC58	NIC58	NIC58
393	NIC584	NIC584	NIC584
394	NIC585	NIC585	NIC585
395	NIC586	NIC586	NIC586
396	NIC591	NIC591	NIC591
397	NIC747	NIC747	NIC747
398	NIC748	NIC749	NIC749
398	NIC749	NIC749	NIC749
399	NIC751	NIC751	NIC751
400	NIC752	NIC753	NIC753
400	NIC753	NIC753	NIC753
401	NIC763	NIC763	NIC763
402	NIC773	NIC773	NIC773
403	NIC775	NIC775	NIC775
404	NIC85	NIC85	NIC85
405	NIC894	NIC894	NIC894
406	NIC895	NIC895	NIC895
407	NIC898	NIC898	NIC898
408	NIC903	NIC903	NIC903
409	NIC904	NIC904	NIC904
410	NIC905	NIC905	NIC905
411	NIC907	NIC907	NIC907
411	NIC913	NIC907	NIC907
412	NIC908	NIC908	NIC908
413	NIC909	NIC909	NIC909
414	NIC91	NIC91	NIC91
415	NIC912	NIC948	NIC948
415	NIC948	NIC948	NIC948
416	NIC915	NIC945	NIC945
416	NIC943	NIC945	NIC945
416	NIC945	NIC945	NIC945
416	NIC946	NIC945	NIC945
416	NIC950	NIC945	NIC945
416	NIC960	NIC945	NIC945
417	NIC916	NIC916	NIC916
418	NIC917	NIC917	NIC917
419	NIC920	NIC920	NIC920
420	NIC923	NIC936	NIC936
420	NIC936	NIC936	NIC936
421	NIC926	NIC926	NIC926
422	NIC927	NIC927	NIC927
423	NIC929	NIC929	NIC929
424	NIC932	NIC956	NIC956
424	NIC956	NIC956	NIC956
425	NIC933	NIC933	NIC933
426	NIC934	NIC934	NIC934
427	NIC938	NIC938	NIC938
428	NIC939	NIC939	NIC939
429	NIC94	NIC94	NIC94
430	NIC940	NIC940	NIC940
431	NIC941	NIC941	NIC941
432	NIC942	NIC942	NIC942
432	NIC967	NIC942	NIC942
433	NIC944	NIC944	NIC944
434	NIC947	NIC947	NIC947
435	NIC951	NIC953	NIC953
435	NIC953	NIC953	NIC953
436	NIC952	NIC952	NIC952
437	NIC955	NIC955	NIC955
438	NIC957	NIC957	NIC957
439	NIC958	NIC958	NIC958
439	NIC969	NIC958	NIC958
440	NIC959	NIC959	NIC959
441	NIC961	NIC961	NIC961
442	NIC962	NIC962	NIC962
443	NIC964	NIC964	NIC964
444	NIC965	NIC965	NIC965
445	NIC970	NIC970	NIC970
446	NIC972	NIC972	NIC972
447	NIC975	NIC975	NIC975
447	NIC976	NIC975	NIC975
448	NIC977	NIC977	NIC977
449	NIC980	NIC980	NIC980
450	NIC983	NIC983	NIC983
451	NIC986	NIC986	NIC986
452	NIC987	NIC987	NIC987
453	NIC988	NIC988	NIC988
454	NIC989	NIC989	NIC989
455	NIC99	NIC99	NIC99
456	NIC993	NIC993	NIC993
457	NIC994	NIC994	NIC994
458	NIC999	NIC999	NIC999
459	QG1000	QG1000	QG1000
460	QG1004	QG1004	QG1004
461	QG131	QG131	QG131
462	QG2697	QG2726	QG2726
462	QG2699	QG2726	QG2726
462	QG2726	QG2726	QG2726
462	QG2727	QG2726	QG2726
462	QG2733	QG2726	QG2726
462	QG2755	QG2726	QG2726
463	QG2716	QG2716	QG2716
463	QG2720	QG2716	QG2716
464	QG2724	QG2724	QG2724
464	QG2725	QG2724	QG2724
465	QG2747	QG2770	QG2770
465	QG2748	QG2770	QG2770
465	QG2749	QG2770	QG2770
465	QG2770	QG2770	QG2770
465	QG2771	QG2770	QG2770
465	QG2772	QG2770	QG2770
465	QG2773	QG2770	QG2770
466	QG2896	QG2896	QG2896
467	QG2897	QG2897	QG2897
468	QG2898	QG2898	QG2898
469	QG2899	QG2899	QG2899
470	QG2904	QG2904	QG2904
471	QG2905	QG2905	QG2905
472	QG3008	QG3008	QG3008
473	QG3009	QG3009	QG3009
474	QG3010	QG3010	QG3010
475	QG3011	QG3011	QG3011
476	QG3013	QG3013	QG3013
477	QG3024	QG3024	QG3024
478	QG3036	QG3037	QG3037
478	QG3037	QG3037	QG3037
479	QG3038	QG3038	QG3038
480	QG3055	QG3055	QG3055
481	QG3064	QG3064	QG3064
482	QG3514	QG3514	QG3514
483	QG3520	QG3526	QG3526
483	QG3526	QG3526	QG3526
483	QG3548	QG3526	QG3526
483	QG3549	QG3526	QG3526
483	QG3835	QG3526	QG3526
483	QG3836	QG3526	QG3526
484	QG3521	QG3521	QG3521
485	QG3522	QG3522	QG3522
486	QG3523	QG3523	QG3523
487	QG3529	QG3529	QG3529
488	QG3533	QG3533	QG3533
489	QG3535	QG3535	QG3535
490	QG3539	QG3539	QG3539
491	QG3543	QG3543	QG3543
492	QG3545	QG3545	QG3545
493	QG3546	QG3546	QG3546
494	QG3547	QG3547	QG3547
495	QG3782	QG3831	QG3831
