species,species_id_method,strain,isotype,previous_names,release,source_lab,latitude,longitude,landscape,locality_description,substrate,substrate_comments,substrate_temp,ambient_temp,ambient_humidity,associated_organism,sampled_by,isolated_by,sampling_date,notes,strain_set,issues,issue_notes,isotype_ref_strain,sequenced
Caenorhabditis briggsae,,QG738,QG809,,20210803,QG,9.15445,-79.82763,Forest,Barro Colorado Island,Rotting_flower,BCI isohermaphrodite line. Sample TK31 (MVR lysate 84). L4 isolated 4/27 > chunk 5/2 > chunk 5/17 > chunk 5.22 > bleach 5.24 > frozen 5.28,,,,,T. Kaur,M. Rockman,2012-04-25,BCI isohermaphrodite line. Sample TK31 (MVR lysate 84). L4 isolated 4/27 > chunk 5/2 > chunk 5/17 > chunk 5.22 > bleach 5.24 > frozen 5.28,,False,,False,True
Caenorhabditis briggsae,,QG588,QG588,,20210803,QG,41.52503056,-70.67271389,Urban_garden,"on the ground in the park just south of Lilly Lab at MBL, Woods Hole, MA",Rotting_nut/pod/seed/fruit,"isolated from two rotting fruits (rose hips?) on the ground in the park just south of Lilly Lab at MBL, Woods Hole, MA: 41°31.30.11''N, 70°40'21.77''W, collected 8/11/11, plated 8/12/11. Adult singled 8/14/11. Frozen, never bleached, 8/26/11.",,,,,M. Rockman,M. Rockman,2011-08-11,"isolated from two rotting fruits (rose hips?) on the ground in the park just south of Lilly Lab at MBL, Woods Hole, MA: 41°31.30.11''N, 70°40'21.77''W, collected 8/11/11, plated 8/12/11. Adult singled 8/14/11. Frozen, never bleached, 8/26/11.",,False,,True,True
Caenorhabditis briggsae,,QG589,QG588,,20210803,QG,41.52503056,-70.67271389,Urban_garden,"on the ground in the park just south of Lilly Lab at MBL, Woods Hole, MA",Rotting_nut/pod/seed/fruit,"isolated from two rotting fruits (rose hips?) on the ground in the park just south of Lilly Lab at MBL, Woods Hole, MA: 41°31.30.11''N, 70°40'21.77''W, collected 8/11/11, plated 8/12/11. Adult singled 8/14/11. Frozen, never bleached, 8/26/11.",,,,,M. Rockman,M. Rockman,2011-08-11,"isolated from two rotting fruits (rose hips?) on the ground in the park just south of Lilly Lab at MBL, Woods Hole, MA: 41°31.30.11''N, 70°40'21.77''W, collected 8/11/11, plated 8/12/11. Adult singled 8/14/11. Frozen, never bleached, 8/26/11.",,False,,False,True
Caenorhabditis briggsae,,QG700,QG700,,20210803,QG,9.145492913,-79.8261379,Forest,Barro Colorado Island,Rotting_nut/pod/seed/fruit,BCI isohermaphrodite line. Sample SR18 (MVR lysate 15). Adult hermaphrodite isolated 4/27. Chunked 5/3 > Chunked 5/8 > Bleached 5/10 > Frozen 5/14.,,,,,S. Rankin,M. Rockman,2012-04-24,BCI isohermaphrodite line. Sample SR18 (MVR lysate 15). Adult hermaphrodite isolated 4/27. Chunked 5/3 > Chunked 5/8 > Bleached 5/10 > Frozen 5/14.,,False,,True,True
Caenorhabditis briggsae,,QG723,QG2665,,20210803,QG,9.154377,-79.833165,Forest,Barro Colorado Island,Fungus,BCI isohermaphrodite line. Sample SR4 (MVR lysate 2). Young adult hermaphrodite singled 5:30 4/25 > chunk 5/2 > chunk 5/17 > chunk 5.22 > bleach 5.24 > frozen 5.28,,,,,S. Rankin,M. Rockman,2012-04-24,BCI isohermaphrodite line. Sample SR4 (MVR lysate 2). Young adult hermaphrodite singled 5:30 4/25 > chunk 5/2 > chunk 5/17 > chunk 5.22 > bleach 5.24 > frozen 5.28,,False,,False,True
Caenorhabditis briggsae,,QG724,QG2665,,20210803,QG,9.154377,-79.833165,Forest,Barro Colorado Island,Fungus,BCI isohermaphrodite line. Sample SR4 (MVR lysate 3). L4 hermaphrodite singled 5:15 4/25. Chunk 5/2 > chunk 5/17  > chunk 5.22 > bleach 5.24 > frozen 5.28,,,,,S. Rankin,M. Rockman,2012-04-24,BCI isohermaphrodite line. Sample SR4 (MVR lysate 3). L4 hermaphrodite singled 5:15 4/25. Chunk 5/2 > chunk 5/17  > chunk 5.22 > bleach 5.24 > frozen 5.28,,False,,False,True
Caenorhabditis briggsae,,QG725,QG784,,20210803,QG,9.154377,-79.833165,Forest,Barro Colorado Island,Fungus,BCI isohermaphrodite line. Sample SR5 (MVR lysate 4). Adult singled 4/27. Chunk 5/1 > chunk 5/17 > chunk 5.22 > bleach 5.24 > frozen 5.29,,,,,S. Rankin,M. Rockman,2012-04-24,BCI isohermaphrodite line. Sample SR5 (MVR lysate 4). Adult singled 4/27. Chunk 5/1 > chunk 5/17 > chunk 5.22 > bleach 5.24 > frozen 5.29,,False,,False,True
Caenorhabditis briggsae,,QG726,QG868,,20210803,QG,9.14141,-79.8285,Forest,Barro Colorado Island,Rotting_nut/pod/seed/fruit,BCI isohermaphrodite line. Sample SR14 (MVR lysate 11). Adult singled 4/27. Chunk 5/1 > chunk 5/17 > chunk 5.22 > bleach 5.24 > frozen 5.29,,,,,S. Rankin,M. Rockman,2012-04-24,BCI isohermaphrodite line. Sample SR14 (MVR lysate 11). Adult singled 4/27. Chunk 5/1 > chunk 5/17 > chunk 5.22 > bleach 5.24 > frozen 5.29,,False,,False,True
Caenorhabditis briggsae,,QG727,QG727,,20210803,QG,9.14141,-79.8285,Forest,Barro Colorado Island,Rotting_flower,BCI isohermaphrodite line. Sample SR12 (MVR lysate 7). L4 singled 4/28. Chunk 5/2 > chunk 5/17 > chunk 5.22 > bleach 5.24 > frozen 5.27,,,,,S. Rankin,M. Rockman,2012-04-24,BCI isohermaphrodite line. Sample SR12 (MVR lysate 7). L4 singled 4/28. Chunk 5/2 > chunk 5/17 > chunk 5.22 > bleach 5.24 > frozen 5.27,,False,,True,True
Caenorhabditis briggsae,,QG728,QG825,,20210803,QG,9.16485,-79.8391,Forest,Barro Colorado Island,Rotting_flower,BCI isohermaphrodite line. Sample MVR1 (MVR lysate 19). Adult singled 4/28. Chunk 5/2 > chunk 5/17  > chunk 5.22 > bleach 5.24 > frozen 5.29,,,,,M. Rockman,M. Rockman,2012-04-23,BCI isohermaphrodite line. Sample MVR1 (MVR lysate 19). Adult singled 4/28. Chunk 5/2 > chunk 5/17  > chunk 5.22 > bleach 5.24 > frozen 5.29,,False,,False,True
Caenorhabditis briggsae,,QG730,QG2648,,20210803,QG,9.16347,-79.84038,Forest,Barro Colorado Island,Rotting_flower,BCI isohermaphrodite line. Sample MVR3 (MVR lysate 24). L4 hermaphrodite singled 7:30 pm 4/24. Chunk 5/2 > chunk 5/17 > chunk 5.22 > bleach 5.24 > frozen 5.29,,,,,M. Rockman,M. Rockman,2012-04-23,BCI isohermaphrodite line. Sample MVR3 (MVR lysate 24). L4 hermaphrodite singled 7:30 pm 4/24. Chunk 5/2 > chunk 5/17 > chunk 5.22 > bleach 5.24 > frozen 5.29,,False,,False,True
Caenorhabditis briggsae,,QG731,QG865,,20210803,QG,9.16272,-79.84097,Forest,Barro Colorado Island,Rotting_flower,BCI isohermaphrodite line. Sample MVR4 (MVR lysate 26). L4 hermaphrodite isolated 5pm 4/23 > chunk 5/2 > chunk 5/17 > chunk 5.22 > bleach 5.24 > frozen 5.28,,,,,M. Rockman,M. Rockman,2012-04-23,BCI isohermaphrodite line. Sample MVR4 (MVR lysate 26). L4 hermaphrodite isolated 5pm 4/23 > chunk 5/2 > chunk 5/17 > chunk 5.22 > bleach 5.24 > frozen 5.28,,False,,False,True
Caenorhabditis briggsae,,QG733,QG733,,20210803,QG,9.152583,-79.852998,Forest,Barro Colorado Island,Rotting_flower,BCI isohermaphrodite line. Sample MVR11 (MVR lysate 31). Adult isolated 4/26 > chunk 5/2 > chunk 5/17 >bleach 5.23 > frozen 5.28,,,,,M. Rockman,M. Rockman,2012-04-24,BCI isohermaphrodite line. Sample MVR11 (MVR lysate 31). Adult isolated 4/26 > chunk 5/2 > chunk 5/17 >bleach 5.23 > frozen 5.28,,False,,True,True
Caenorhabditis briggsae,,QG734,QG864,,20210803,QG,9.152583,-79.852998,Forest,Barro Colorado Island,Rotting_nut/pod/seed/fruit,BCI isohermaphrodite line. Sample MVR17 (MVR lysate 36). L4 hermaphrodite isolated 3:30 4/25 > chunk 5/2 > chunk 5/17 >  5.24 bleach > frozen 5.29,,,,,M. Rockman,M. Rockman,2012-04-24,BCI isohermaphrodite line. Sample MVR17 (MVR lysate 36). L4 hermaphrodite isolated 3:30 4/25 > chunk 5/2 > chunk 5/17 >  5.24 bleach > frozen 5.29,,False,,False,True
Caenorhabditis briggsae,,QG735,QG865,,20210803,QG,9.1546218,-79.8487201,Forest,Barro Colorado Island,Rotting_flower,BCI isohermaphrodite line. Sample MVR18 (MVR lysate 37). Young adult isolated 4/26 > chunk 5/2 > chunk 5/17 >bleach 5.22 > frozen 5.30,,,,,M. Rockman,M. Rockman,2012-04-24,BCI isohermaphrodite line. Sample MVR18 (MVR lysate 37). Young adult isolated 4/26 > chunk 5/2 > chunk 5/17 >bleach 5.22 > frozen 5.30,,False,,False,True
Caenorhabditis briggsae,,QG736,QG736,,20210803,QG,9.155514,-79.848903,Forest,Barro Colorado Island,Rotting_nut/pod/seed/fruit,BCI isohermaphrodite line. Sample MVR19 (MVR lysate 38). Adult isolated 4/28 > chunk 5/2 > chunk 5/17 > chunk 5.22 > bleach 5.24 > frozen 5.30,,,,,M. Rockman,M. Rockman,2012-04-24,BCI isohermaphrodite line. Sample MVR19 (MVR lysate 38). Adult isolated 4/28 > chunk 5/2 > chunk 5/17 > chunk 5.22 > bleach 5.24 > frozen 5.30,,False,,True,True
Caenorhabditis briggsae,,QG739,QG739,,20210803,QG,9.15447,-79.82758,Forest,Barro Colorado Island,Rotting_nut/pod/seed/fruit,BCI isohermaphrodite line. Sample TK28 (MVR lysate 75). Adult isolated 4/28 > chunk 5/3 > chunk 5/17 > chunk 5.22 > bleach 5.27 >frozen 5.28,,,,,T. Kaur,M. Rockman,2012-04-25,BCI isohermaphrodite line. Sample TK28 (MVR lysate 75). Adult isolated 4/28 > chunk 5/3 > chunk 5/17 > chunk 5.22 > bleach 5.27 >frozen 5.28,,False,,True,True
Caenorhabditis briggsae,,QG740,QG875,,20240129,QG,9.1543,-79.82672,Forest,Barro Colorado Island,Rotting_nut/pod/seed/fruit,BCI isohermaphrodite line. Sample TK21 (MVR lysate 67). Adult isolated 4/26 > chunk 5/2 > chunk 5/17 > chunk 5.22 >frozen 5.30,,,,,T. Kaur,M. Rockman,2012-04-25,BCI isohermaphrodite line. Sample TK21 (MVR lysate 67). Adult isolated 4/26 > chunk 5/2 > chunk 5/17 > chunk 5.22 >frozen 5.30,,False,,False,True
Caenorhabditis briggsae,,QG741,QG3058,,20210803,QG,9.161421,-79.837195,Forest,Barro Colorado Island,Rotting_flower,BCI isohermaphrodite line. Sample DT-A-2 (MVR lysate 105). L2 isolated 4/27 > chunk 5/2 > chunk 5/18 > bleach 5. 23 > frozen 5.27,,,,,M. Rockman,M. Rockman,2012-04-25,BCI isohermaphrodite line. Sample DT-A-2 (MVR lysate 105). L2 isolated 4/27 > chunk 5/2 > chunk 5/18 > bleach 5. 23 > frozen 5.27,,False,,False,True
Caenorhabditis briggsae,,QG742,QG3058,,20210803,QG,9.161421,-79.837195,Forest,Barro Colorado Island,Rotting_flower,BCI isohermaphrodite line. Sample DT-A-2 (MVR lysate 103). L2 isolated 4.27 > chunk 5/2 > chunk 5/18 > chunk 5.22 > bleach 5.30,,,,,M. Rockman,M. Rockman,2012-04-26,BCI isohermaphrodite line. Sample DT-A-2 (MVR lysate 103). L2 isolated 4.27 > chunk 5/2 > chunk 5/18 > chunk 5.22 > bleach 5.30,,False,,False,True
Caenorhabditis briggsae,,QG743,QG3058,,20210803,QG,9.161421,-79.837195,Forest,Barro Colorado Island,Rotting_flower,BCI isohermaphrodite line. Sample DT-A-2 (MVR lysate 104). L4 isolated 4/28 > chunk 5/2 > chunk 5/18 > bleach 5.23 > frozen 5.27,,,,,M. Rockman,M. Rockman,2012-04-26,BCI isohermaphrodite line. Sample DT-A-2 (MVR lysate 104). L4 isolated 4/28 > chunk 5/2 > chunk 5/18 > bleach 5.23 > frozen 5.27,,False,,False,True
Caenorhabditis briggsae,,QG744,QG1126,,20210803,QG,9.161421,-79.837195,Forest,Barro Colorado Island,Rotting_flower,BCI isohermaphrodite line. Sample DT-B-1 (MVR lysate 109). Adult isolated 8:06 pm 4/26 > chunk 5/2 > chunk 5/18 > chunk 5.24 > chunk 5.28 > bleach 5.30 > frozen 6.4.12,,,,,M. Rockman,M. Rockman,2012-04-26,BCI isohermaphrodite line. Sample DT-B-1 (MVR lysate 109). Adult isolated 8:06 pm 4/26 > chunk 5/2 > chunk 5/18 > chunk 5.24 > chunk 5.28 > bleach 5.30 > frozen 6.4.12,,False,,False,True
Caenorhabditis briggsae,,QG745,QG1126,,20210803,QG,9.161421,-79.837195,Forest,Barro Colorado Island,Rotting_flower,BCI isohermaphrodite line. Sample DT-B-1 (MVR lysate 108). Adult isolated 8:10 pm 4/26 > chunk 5/2 > chunk 5/18 > chunk 5.24 > chunk 5.28 > bleach 5.30 > frozen 6.4.12,,,,,M. Rockman,M. Rockman,2012-04-26,BCI isohermaphrodite line. Sample DT-B-1 (MVR lysate 108). Adult isolated 8:10 pm 4/26 > chunk 5/2 > chunk 5/18 > chunk 5.24 > chunk 5.28 > bleach 5.30 > frozen 6.4.12,,False,,False,True
Caenorhabditis briggsae,,QG746,QG1126,,20210803,QG,9.161421,-79.837195,Forest,Barro Colorado Island,Rotting_flower,BCI isohermaphrodite line. Sample DT-B-1 (MVR lysate 110). Adult isolated 8:05 pm 4/26 > chunk 5/2 > chunk 5/18 > chunk 5.24 > chunk 5.28 > bleach 5.30 > frozen 6.4.12,,,,,M. Rockman,M. Rockman,2012-04-26,BCI isohermaphrodite line. Sample DT-B-1 (MVR lysate 110). Adult isolated 8:05 pm 4/26 > chunk 5/2 > chunk 5/18 > chunk 5.24 > chunk 5.28 > bleach 5.30 > frozen 6.4.12,,False,,False,True
Caenorhabditis briggsae,,QG747,QG763,,20210803,QG,9.161421,-79.837195,Forest,Barro Colorado Island,Rotting_flower,BCI isohermaphrodite line. Sample DT-B-2 (MVR lysate 113). Dauer isolated 4/27 > chunk 5/2 > chunk 5/18 > frozen 5.22,,,,,M. Rockman,M. Rockman,2012-04-26,BCI isohermaphrodite line. Sample DT-B-2 (MVR lysate 113). Dauer isolated 4/27 > chunk 5/2 > chunk 5/18 > frozen 5.22,,False,,False,True
