samples	cluster	strain	lat	long	geo	Lineage
ECA2976	E	ECA2976	22.0638967	-159.3522759	Hawaii	HC
ECA3053	E	ECA3053	20.0389764	-155.4399684	Hawaii	HC
ECA793	E	ECA793	22.194578	-159.478478	Hawaii	HC
JU1630	F	JU1630	17.1064	-25.1222	Africa	Af
JU1631	F	JU1631	17.1404	-25.1261	Africa	Af
JU1634	F	JU1634	17.12	-25.049	Africa	Af
JU1636	F	JU1636	17.129	-25.0966	Africa	Af
JU1639	F	JU1639	17.149	-25.0696	Africa	Af
JU1640	F	JU1640	15.084	-23.5215	Africa	Af
JU1818	F	JU1818	4.595467	-52.262633	South America	Af
JU1632	F	JU1632	17.1508	-25.1314	Africa	Af
JU1633	F	JU1633	17.115	-25.05	Africa	Af
JU1641	F	JU1641	14.9174	-23.6049	Africa	Af
QG4672	G	QG4672	6.9643	158.1915	Micronesia	Mic2
QG4695	G	QG4695	6.8648	158.1774	Micronesia	Mic2
QG4730	G	QG4730	6.9196	158.2631	Micronesia	Mic2
QG4740	G	QG4740	6.9204	158.2633	Micronesia	Mic2
QG4870	G	QG4870	6.9204	158.2633	Micronesia	Mic2
QG4892	G	QG4892	6.9204	158.2633	Micronesia	Mic2
QG4904	G	QG4904	6.9196	158.2631	Micronesia	Mic2
QG5159	G	QG5159	6.918	158.2617	Micronesia	Mic2
QG5160	G	QG5160	6.918	158.2617	Micronesia	Mic2
QG5319	G	QG5319	6.8569	158.2198	Micronesia	Mic2
QG5643	G	QG5643	6.9179	158.2617	Micronesia	Mic2
QG4893	G	QG4893	6.8577	158.2157	Micronesia	Mic2
QG5237	G	QG5237	6.8632	158.1746	Micronesia	Mic2
QG5256	G	QG5256	6.8632	158.1746	Micronesia	Mic2
QG5260	G	QG5260	6.8632	158.1746	Micronesia	Mic2
QG4878	G	QG4878	6.8632	158.1746	Micronesia	Mic2
QG4894	G	QG4894	6.9196	158.2631	Micronesia	Mic2
QG5628	G	QG5628	6.9171	158.2622	Micronesia	Mic2
QG5220	G	QG5220	6.8632	158.1746	Micronesia	Mic2
QG5365	G	QG5365	6.9169	158.2622	Micronesia	Mic2
QG5366	G	QG5366	6.9169	158.2622	Micronesia	Mic2
QG5551	G	QG5551	6.9171	158.2622	Micronesia	Mic2
QG5552	G	QG5552	6.9171	158.2622	Micronesia	Mic2
QG5629	G	QG5629	6.9169	158.2622	Micronesia	Mic2
QG4871	G	QG4871	6.9204	158.2633	Micronesia	Mic2
QG5161	G	QG5161	6.9066	158.1818	Micronesia	Mic2
QG5364	G	QG5364	6.9169	158.2622	Micronesia	Mic2
QG4754	G	QG4754	6.9169	158.2622	Micronesia	Mic2
QG5262	G	QG5262	6.8648	158.1774	Micronesia	Mic2
QG5588	G	QG5588	6.9066	158.1818	Micronesia	Mic2
QG5652	G	QG5652	6.918	158.2617	Micronesia	Mic2
QG4629	G	QG4629	6.8679	158.1784	Micronesia	Mic2
QG4694	G	QG4694	6.9661	158.1916	Micronesia	Mic2
QG4696	G	QG4696	6.9668	158.1916	Micronesia	Mic2
QG4779	G	QG4779	6.9171	158.2622	Micronesia	Mic2
QG5405	G	QG5405	6.9066	158.1818	Micronesia	Mic2
QG5550	G	QG5550	6.9171	158.2622	Micronesia	Mic2
QG4669	G	QG4669	6.9684	158.1899	Micronesia	Mic2
QG4714	G	QG4714	6.8577	158.2157	Micronesia	Mic2
QG4646	H	QG4646	6.8567	158.2236	Micronesia	Mic1
QG4653	H	QG4653	6.9639	158.1907	Micronesia	Mic1
QG4659	H	QG4659	6.8567	158.2225	Micronesia	Mic1
QG4671	H	QG4671	6.9639	158.1908	Micronesia	Mic1
QG4713	H	QG4713	6.9674	158.1904	Micronesia	Mic1
QG4741	H	QG4741	6.8538	158.2157	Micronesia	Mic1
QG4782	H	QG4782	6.8567	158.2236	Micronesia	Mic1
QG4867	H	QG4867	6.8567	158.2225	Micronesia	Mic1
QG4891	H	QG4891	6.8567	158.2225	Micronesia	Mic1
QG4897	H	QG4897	6.8567	158.2225	Micronesia	Mic1
QG5510	H	QG5510	6.9639	158.1907	Micronesia	Mic1
QG5602	H	QG5602	6.9639	158.1908	Micronesia	Mic1
QG5638	H	QG5638	6.9639	158.1908	Micronesia	Mic1
QG5655	H	QG5655	6.9639	158.1907	Micronesia	Mic1
QG4869	H	QG4869	6.8567	158.2236	Micronesia	Mic1
QG5305	H	QG5305	6.9194	158.271	Micronesia	Mic1
NIC1541	I	NIC1541	25.05792	121.77076	Taiwan	Tw3
NIC1548	I	NIC1548	25.05343	121.77265	Taiwan	Tw3
NIC1564	I	NIC1564	25.00469	121.7343	Taiwan	Tw3
NIC1648	I	NIC1648	25.06574	121.82753	Taiwan	Tw3
NIC1544	I	NIC1544	25.05343	121.77265	Taiwan	Tw3
NIC1551	I	NIC1551	25.02212	121.73275	Taiwan	Tw3
NIC1649	I	NIC1649	25.06574	121.82753	Taiwan	Tw3
NIC1650	I	NIC1650	25.06574	121.82753	Taiwan	Tw3
NIC1542	I	NIC1542	25.05704	121.77109	Taiwan	Tw3
NIC1549	I	NIC1549	25.05343	121.77265	Taiwan	Tw3
NIC1646	I	NIC1646	25.06549	121.82703	Taiwan	Tw3
NIC1647	I	NIC1647	25.06574	121.82753	Taiwan	Tw3
NIC1546	I	NIC1546	25.05343	121.77265	Taiwan	Tw3
NIC530	I	NIC530	24.6	121	Taiwan	Tw3
NIC1644	I	NIC1644	25.06464	121.82481	Taiwan	Tw3
NIC517	I	NIC517	25.00739	121.900472	Taiwan	Tw3
NIC1550	I	NIC1550	25.05343	121.77265	Taiwan	Tw3
NIC1557	I	NIC1557	25.01713	121.73247	Taiwan	Tw3
NIC1545	I	NIC1545	25.05343	121.77265	Taiwan	Tw3
NIC1561	I	NIC1561	25.00481	121.73369	Taiwan	Tw3
BRC20464	I	BRC20464	24.822726	121.735653	Taiwan	Tw3
NIC1553	I	NIC1553	25.02212	121.73275	Taiwan	Tw3
JU1373	J	JU1373	-21.0473	55.6885	Africa	Af
JU1374	J	JU1374	-21.0484	55.6878	Africa	Af
NIC1526	J	NIC1526	-16.755721	49.99665	Africa	Af
NIC1531	J	NIC1531	-16.755873	49.996516	Africa	Af
NIC1534	J	NIC1534	-17.088793	49.827329	Africa	Af
JU1800	J	JU1800	-21.0471	55.6887	Africa	Af
JU3170	J	JU3170	0.289	6.612	Africa	Af
ECA1445	K	ECA1445	19.8552394	-155.1527495	Hawaii	Hw2
ECA1447	K	ECA1447	19.8552394	-155.1527495	Hawaii	Hw2
ECA1451	K	ECA1451	19.8552394	-155.1527495	Hawaii	Hw2
ECA1449	K	ECA1449	19.8552394	-155.1527495	Hawaii	Hw2
ECA1453	K	ECA1453	19.854497	-155.15326	Hawaii	Hw2
NIC1254	L	NIC1254	4.085349999	-52.68294297	South America	LAC
NIC1316	L	NIC1316	4.548271028	-52.21274	South America	LAC
NIC1408	L	NIC1408	3.641236033	-53.18958099	South America	LAC
NIC1415	L	NIC1415	3.637292013	-53.20446499	South America	LAC
NIC322	L	NIC322	5.29111	-53.05539	South America	LAC
NIC365	L	NIC365	4.03617	-52.67805	South America	LAC
NIC408	L	NIC408	5.40848	-53.65181	South America	LAC
NIC434	L	NIC434	4.08584	-52.67358	South America	LAC
NIC1277	L	NIC1277	3.607720993	-53.19995603	South America	LAC
NIC1313	L	NIC1313	4.54814597	-52.21200599	South America	LAC
NIC1309	L	NIC1309	4.548271028	-52.21274	South America	LAC
NIC904	L	NIC904	4.03117	-52.68019	South America	LAC
NIC936	L	NIC936	4.03149	-52.68573	South America	LAC
NIC957	L	NIC957	4.03952	-52.67598	South America	LAC
JU1428	L	JU1428	4.08	-52.68	South America	LAC
NIC1321	L	NIC1321	4.558942029	-52.20779099	South America	LAC
NIC1400	L	NIC1400	4.561057035	-52.18330602	South America	LAC
NIC1276	L	NIC1276	3.61280797	-53.180336	South America	LAC
NIC1453	L	NIC1453	4.554173984	-52.21073999	South America	LAC
NIC1132	M	NIC1132	-12.87564397	-69.49700503	South America	LAC
NIC1136	M	NIC1136	-12.872141	-69.49788203	South America	LAC
NIC1161	M	NIC1161	-12.87576098	-69.496324	South America	LAC
QG3535	M	QG3535	10.43792	-84.01132	Central America	LAC
QG3811	M	QG3811	10.43288	-84.00678	Central America	LAC
QG3839	M	QG3839	10.43792	-84.01132	Central America	LAC
NIC1121	M	NIC1121	-12.87416004	-69.49736402	South America	LAC
NIC1145	M	NIC1145	-12.87499001	-69.49504701	South America	LAC
NIC1164	M	NIC1164	-12.87692699	-69.49483403	South America	LAC
NIC1193	M	NIC1193	-12.84973802	-69.45760002	South America	LAC
JU1848	N	JU1848	4.090933	-52.674933	South America	LAC
JU1850	N	JU1850	4.086683	-52.68165	South America	LAC
JU1851	N	JU1851	4.087367	-52.682217	South America	LAC
JU1871	N	JU1871	4.082883	-52.679783	South America	LAC
NIC1354	N	NIC1354	4.071575012	-52.68970096	South America	LAC
NIC1438	N	NIC1438	4.08830001	-52.68124396	South America	LAC
NIC1470	N	NIC1470	4.090107987	-52.68292302	South America	LAC
NIC1514	N	NIC1514	4.085349999	-52.68294297	South America	LAC
NIC284	N	NIC284	4.07513	-52.6921	South America	LAC
NIC286	N	NIC286	4.08808	-52.67976	South America	LAC
NIC291	N	NIC291	4.092299	-52.675813	South America	LAC
NIC294	N	NIC294	4.09492	-52.68604	South America	LAC
NIC445	N	NIC445	4.08558	-52.67682	South America	LAC
NIC475	N	NIC475	4.08631	-52.67243	South America	LAC
NIC91	N	NIC91	4.08747	-52.67394	South America	LAC
NIC491	N	NIC491	4.08507	-52.68325	South America	LAC
NIC1556	O	NIC1556	25.02132	121.73295	Taiwan	Tw2
NIC1694	O	NIC1694	25.02177	121.58537	Taiwan	Tw2
NIC1560	O	NIC1560	25.01519	121.73311	Taiwan	Tw2
TWN2103	O	TWN2103	25.16666667	121.5166667	Taiwan	Tw2
NIC1384	P	NIC1384	4.047968974	-52.67714404	South America	LAC
NIC1425	P	NIC1425	4.039971968	-52.674937	South America	LAC
NIC2357	P	NIC2357	4.039690001	-52.67415999	South America	LAC
NIC2361	P	NIC2361	4.038404971	-52.677023	South America	LAC
NIC2368	P	NIC2368	4.039645996	-52.67438103	South America	LAC
NIC2371	P	NIC2371	4.042387968	-52.67838799	South America	LAC
NIC372	P	NIC372	4.03712	-52.67044	South America	LAC
NIC416	P	NIC416	4.03714	-52.67109	South America	LAC
NIC916	P	NIC916	4.03928	-52.67371	South America	LAC
NIC926	P	NIC926	4.03837	-52.67075	South America	LAC
NIC961	P	NIC961	4.03726	-52.67143	South America	LAC
NIC962	P	NIC962	4.03875	-52.6677	South America	LAC
NIC964	P	NIC964	4.03701	-52.67172	South America	LAC
NIC965	P	NIC965	4.03701	-52.67172	South America	LAC
NIC972	P	NIC972	4.03701	-52.67172	South America	LAC
NIC999	P	NIC999	4.03938	-52.67617	South America	LAC
NIC1005	P	NIC1005	4.03896	-52.66843	South America	LAC
NIC1012	P	NIC1012	4.03793	-52.67185	South America	LAC
NIC382	P	NIC382	4.03801	-52.67711	South America	LAC
NIC396	P	NIC396	4.03893	-52.67352	South America	LAC
NIC947	P	NIC947	4.03997	-52.67496	South America	LAC
NIC970	P	NIC970	4.03085	-52.68408	South America	LAC
NIC1016	P	NIC1016	4.03793	-52.67185	South America	LAC
NIC942	P	NIC942	4.04007	-52.67494	South America	LAC
NIC958	P	NIC958	4.03502	-52.67796	South America	LAC
NIC1383	P	NIC1383	4.038909981	-52.673385	South America	LAC
NIC977	P	NIC977	4.03819	-52.67066	South America	LAC
NIC975	P	NIC975	4.03819	-52.67066	South America	LAC
NIC956	P	NIC956	4.0401	-52.67504	South America	LAC
ECA1306	Q	ECA1306	21.34293	-157.8239	Hawaii	Hw1
ECA1518	Q	ECA1518	21.39774444	-157.8914889	Hawaii	Hw1
ECA1583	Q	ECA1583	21.317253	-157.81937	Hawaii	Hw1
ECA2087	Q	ECA2087	21.394489	-157.90023	Hawaii	Hw1
ECA2898	Q	ECA2898	21.355658	-157.7645652	Hawaii	Hw1
ECA2900	Q	ECA2900	21.355658	-157.7645652	Hawaii	Hw1
ECA2910	Q	ECA2910	21.355658	-157.7645652	Hawaii	Hw1
ECA800	Q	ECA800	20.78352803	-156.0650423	Hawaii	Hw1
ECA801	Q	ECA801	20.78352803	-156.0650423	Hawaii	Hw1
ECA802	Q	ECA802	20.78352803	-156.0650423	Hawaii	Hw1
ECA803	Q	ECA803	20.78352803	-156.0650423	Hawaii	Hw1
ECA1309	Q	ECA1309	21.34293	-157.8239	Hawaii	Hw1
ECA1481	Q	ECA1481	21.39448889	-157.9002278	Hawaii	Hw1
ECA1599	Q	ECA1599	21.394489	-157.90023	Hawaii	Hw1
ECA1585	Q	ECA1585	21.317253	-157.81937	Hawaii	Hw1
ECA2920	Q	ECA2920	21.355658	-157.7645652	Hawaii	Hw1
ECA804	Q	ECA804	20.807406	-156.096654	Hawaii	Hw1
ECA1579	Q	ECA1579	21.317253	-157.81937	Hawaii	Hw1
ECA1310	Q	ECA1310	21.34293	-157.8239	Hawaii	Hw1
ECA2899	Q	ECA2899	21.355658	-157.7645652	Hawaii	Hw1
ECA1603	Q	ECA1603	21.39578611	-157.9005111	Hawaii	Hw1
ECA1581	Q	ECA1581	21.317253	-157.81937	Hawaii	Hw1
ECA805	Q	ECA805	20.807406	-156.096654	Hawaii	Hw1
QG3545	R	QG3545	10.42361667	-84.00118611	Central America	LAC
QG3546	R	QG3546	10.43288	-84.00678	Central America	LAC
QG3797	R	QG3797	10.42974	-84.00938	Central America	LAC
QG3805	R	QG3805	10.42608333	-84.0092	Central America	LAC
QG3862	R	QG3862	10.42608333	-84.0092	Central America	LAC
QG3872	R	QG3872	10.44027	-84.01227	Central America	LAC
QG3526	R	QG3526	10.42643333	-84.01193333	Central America	LAC
QG1000	S	QG1000	9.170850606	-79.84289876	Central America	LAC
QG2724	S	QG2724	9.1598	-79.8399	Central America	LAC
QG2770	S	QG2770	9.1576	-79.83393333	Central America	LAC
QG3008	S	QG3008	9.16005	-79.841	Central America	LAC
QG3010	S	QG3010	9.159966667	-79.84096667	Central America	LAC
QG3011	S	QG3011	9.159966667	-79.84096667	Central America	LAC
QG3013	S	QG3013	9.159766667	-79.841	Central America	LAC
QG3037	S	QG3037	9.164533333	-79.84156667	Central America	LAC
QG3038	S	QG3038	9.164533333	-79.84156667	Central America	LAC
QG3055	S	QG3055	9.16484	-79.83659	Central America	LAC
QG3064	S	QG3064	9.16092	-79.84046	Central America	LAC
QG834	S	QG834	9.15385	-79.83077	Central America	LAC
QG836	S	QG836	9.15447	-79.82758	Central America	LAC
QG841	S	QG841	9.161421	-79.837195	Central America	LAC
QG845	S	QG845	9.15443	-79.82735	Central America	LAC
QG846	S	QG846	9.15443	-79.82735	Central America	LAC
QG852	S	QG852	9.15443	-79.82735	Central America	LAC
QG935	S	QG935	9.159499	-79.838839	Central America	LAC
QG921	S	QG921	9.164456	-79.844623	Central America	LAC
QG1004	S	QG1004	9.164456	-79.844623	Central America	LAC
QG987	S	QG987	9.147419	-79.85312	Central America	LAC
NIC1140	T	NIC1140	-12.87255297	-69.49927501	South America	LAC
NIC1144	T	NIC1144	-12.87499001	-69.49504701	South America	LAC
NIC1149	T	NIC1149	-12.87644897	-69.49256002	South America	LAC
NIC1150	T	NIC1150	-12.87688499	-69.49274903	South America	LAC
NIC1152	T	NIC1152	-12.87629499	-69.49540299	South America	LAC
NIC1160	T	NIC1160	-12.875118	-69.49683102	South America	LAC
NIC1179	T	NIC1179	-12.882596	-69.48865003	South America	LAC
NIC1151	T	NIC1151	-12.87644704	-69.49407396	South America	LAC
NIC1168	T	NIC1168	-12.87918197	-69.49254099	South America	LAC
NIC1147	T	NIC1147	-12.87586299	-69.49340601	South America	LAC
NIC1176	T	NIC1176	-12.88127099	-69.49013798	South America	LAC
NIC1167	T	NIC1167	-12.87739897	-69.49448098	South America	LAC
NIC1169	T	NIC1169	-12.87919999	-69.49226297	South America	LAC
NIC1146	T	NIC1146	-12.875765	-69.49353903	South America	LAC
NIC1180	T	NIC1180	-12.88253004	-69.48824904	South America	LAC
NIC1175	T	NIC1175	-12.88087302	-69.49066697	South America	LAC
NIC1153	T	NIC1153	-12.87629499	-69.49540299	South America	LAC
NIC1543	U	NIC1543	25.05704	121.77109	Taiwan	Tw3
BRC20400	U	BRC20400	25.016672	121.557423	Taiwan	Tw3
NIC1559	U	NIC1559	25.01519	121.73311	Taiwan	Tw3
NIC1547	U	NIC1547	25.05343	121.77265	Taiwan	Tw3
NIC1653	U	NIC1653	25.02814	121.74912	Taiwan	Tw3
NIC124	V	NIC124	16.0435	-61.643	Caribbean	LAC
NIC129	V	NIC129	16.0207	-61.597	Caribbean	LAC
NIC1846	V	NIC1846	13.1938	-59.637	Caribbean	LAC
NIC535	V	NIC535	15.23686	-61.34787	Caribbean	LAC
NIC540	V	NIC540	15.23686	-61.34787	Caribbean	LAC
NIC551	V	NIC551	15.56923	-61.3744	Caribbean	LAC
NIC575	V	NIC575	15.40564	-61.34607	Caribbean	LAC
NIC577	V	NIC577	15.40564	-61.34607	Caribbean	LAC
NIC585	V	NIC585	15.40415	-61.34645	Caribbean	LAC
NIC587	V	NIC587	15.40528	-61.34618	Caribbean	LAC
NIC746	V	NIC746	15.31929	-61.30588	Caribbean	LAC
NIC749	V	NIC749	15.31568	-61.29654	Caribbean	LAC
NIC247	V	NIC247	16.03608	-61.635025	Caribbean	LAC
NIC751	V	NIC751	15.39709	-61.31183	Caribbean	LAC
NIC775	V	NIC775	15.34529	-61.31009	Caribbean	LAC
NIC591	V	NIC591	15.40585	-61.34613	Caribbean	LAC
NIC589	V	NIC589	15.40528	-61.34618	Caribbean	LAC
NIC763	V	NIC763	15.33997	-61.30419	Caribbean	LAC
NIC125	V	NIC125	16.0207	-61.597	Caribbean	LAC
NIC1912	V	NIC1912	14.724882	-61.105406	Caribbean	LAC
QG4739	W	QG4739	6.9066	158.1818	Micronesia	Mic1
QG4759	W	QG4759	6.9066	158.1818	Micronesia	Mic1
QG4780	W	QG4780	6.9066	158.1818	Micronesia	Mic1
QG5104	W	QG5104	6.9066	158.1818	Micronesia	Mic1
JU1870	X	JU1870	4.082883	-52.679783	South America	LAC
NIC1252	X	NIC1252	4.085349999	-52.68294297	South America	LAC
NIC444	X	NIC444	4.08422	-52.67452	South America	LAC
NIC1038	Y	NIC1038	4.03896	-52.66843	South America	LAC
NIC1270	Y	NIC1270	3.599450989	-53.18744604	South America	LAC
NIC1387	Y	NIC1387	3.603495006	-53.19458197	South America	LAC
NIC1405	Y	NIC1405	3.600050965	-53.18947999	South America	LAC
NIC391	Y	NIC391	4.03715	-52.67126	South America	LAC
NIC908	Y	NIC908	4.04372	-52.67704	South America	LAC
NIC952	Y	NIC952	4.03894	-52.66867	South America	LAC
NIC987	Y	NIC987	4.03726	-52.67243	South America	LAC
NIC988	Y	NIC988	4.03726	-52.67243	South America	LAC
NIC993	Y	NIC993	4.04255	-52.67816	South America	LAC
NIC1587	Z	NIC1587	23.58801	121.34578	Taiwan	Tw1
NIC1584	Z	NIC1584	23.58773	121.34154	Taiwan	Tw1
NIC1585	Z	NIC1585	23.58773	121.34154	Taiwan	Tw1
NIC1588	Z	NIC1588	23.58801	121.34578	Taiwan	Tw1
NIC1603	Z	NIC1603	24.68897	121.13965	Taiwan	Tw1
NIC1586	Z	NIC1586	23.58878	121.33879	Taiwan	Tw1
NIC1583	Z	NIC1583	23.58773	121.34154	Taiwan	Tw1
NIC1596	Z	NIC1596	24.6871	121.13633	Taiwan	Tw1
BRC20548	Z	BRC20548	22.753556	120.731306	Taiwan	Tw1
NIC1565	Z	NIC1565	23.86597	120.90747	Taiwan	Tw1
NIC1658	Z	NIC1658	25.02814	121.74912	Taiwan	Tw1
