samples	cluster	strain	lat	long	geo	Lineage
QG4672	AA	QG4672	6.9643	158.1915	Micronesia	Mic
QG4694	AA	QG4694	6.9661	158.1916	Micronesia	Mic
QG5260	AA	QG5260	6.8632	158.1746	Micronesia	Mic
QG4893	AA	QG4893	6.8577	158.2157	Micronesia	Mic
NIC1270	AB	NIC1270	3.599450989	-53.18744604	South America	LAC
NIC391	AB	NIC391	4.03715	-52.67126	South America	LAC
NIC987	AB	NIC987	4.03726	-52.67243	South America	LAC
NIC988	AB	NIC988	4.03726	-52.67243	South America	LAC
NIC993	AB	NIC993	4.04255	-52.67816	South America	LAC
NIC1387	AB	NIC1387	3.603495006	-53.19458197	South America	LAC
NIC1405	AB	NIC1405	3.600050965	-53.18947999	South America	LAC
NIC1038	AB	NIC1038	4.03896	-52.66843	South America	LAC
NIC952	AB	NIC952	4.03894	-52.66867	South America	LAC
NIC1592	B	NIC1592	24.68622	121.13734	Taiwan	Tw6
NIC1594	B	NIC1594	24.68622	121.13734	Taiwan	Tw6
QG4739	B	QG4739	6.9066	158.1818	Micronesia	Mic
QG4759	B	QG4759	6.9066	158.1818	Micronesia	Mic
QG4780	B	QG4780	6.9066	158.1818	Micronesia	Mic
QG5104	B	QG5104	6.9066	158.1818	Micronesia	Mic
NIC489	C	NIC489	4.08695	-52.67731	South America	LAC
JU1870	C	JU1870	4.082883	-52.679783	South America	LAC
NIC1252	C	NIC1252	4.085349999	-52.68294297	South America	LAC
NIC444	C	NIC444	4.08422	-52.67452	South America	LAC
QG4754	D	QG4754	6.9169	158.2622	Micronesia	Mic
QG4779	D	QG4779	6.9171	158.2622	Micronesia	Mic
QG4781	D	QG4781	6.9174	158.2615	Micronesia	Mic
QG5364	D	QG5364	6.9169	158.2622	Micronesia	Mic
QG5365	D	QG5365	6.9169	158.2622	Micronesia	Mic
QG5366	D	QG5366	6.9169	158.2622	Micronesia	Mic
QG5405	D	QG5405	6.9066	158.1818	Micronesia	Mic
QG5502	D	QG5502	6.9174	158.2615	Micronesia	Mic
QG5503	D	QG5503	6.9174	158.2615	Micronesia	Mic
QG5550	D	QG5550	6.9171	158.2622	Micronesia	Mic
QG5576	D	QG5576	6.9181	158.2619	Micronesia	Mic
QG5588	D	QG5588	6.9066	158.1818	Micronesia	Mic
QG5629	D	QG5629	6.9169	158.2622	Micronesia	Mic
QG5650	D	QG5650	6.9181	158.2619	Micronesia	Mic
QG5552	D	QG5552	6.9171	158.2622	Micronesia	Mic
QG5161	D	QG5161	6.9066	158.1818	Micronesia	Mic
QG5628	D	QG5628	6.9171	158.2622	Micronesia	Mic
QG5551	D	QG5551	6.9171	158.2622	Micronesia	Mic
QG3862	E	QG3862	10.42608333	-84.0092	Central America	LAC
QG3872	E	QG3872	10.44027	-84.01227	Central America	LAC
QG3526	E	QG3526	10.42643333	-84.01193333	Central America	LAC
QG3797	E	QG3797	10.42974	-84.00938	Central America	LAC
NIC124	F	NIC124	16.0435	-61.643	Caribbean	LAC
NIC125	F	NIC125	16.0207	-61.597	Caribbean	LAC
NIC129	F	NIC129	16.0207	-61.597	Caribbean	LAC
NIC1846	F	NIC1846	13.1938	-59.637	Caribbean	LAC
NIC247	F	NIC247	16.03608	-61.635025	Caribbean	LAC
NIC575	F	NIC575	15.40564	-61.34607	Caribbean	LAC
NIC577	F	NIC577	15.40564	-61.34607	Caribbean	LAC
NIC585	F	NIC585	15.40415	-61.34645	Caribbean	LAC
NIC587	F	NIC587	15.40528	-61.34618	Caribbean	LAC
NIC589	F	NIC589	15.40528	-61.34618	Caribbean	LAC
NIC591	F	NIC591	15.40585	-61.34613	Caribbean	LAC
NIC749	F	NIC749	15.31568	-61.29654	Caribbean	LAC
NIC751	F	NIC751	15.39709	-61.31183	Caribbean	LAC
NIC763	F	NIC763	15.33997	-61.30419	Caribbean	LAC
NIC535	F	NIC535	15.23686	-61.34787	Caribbean	LAC
NIC540	F	NIC540	15.23686	-61.34787	Caribbean	LAC
NIC746	F	NIC746	15.31929	-61.30588	Caribbean	LAC
NIC1012	G	NIC1012	4.03793	-52.67185	South America	LAC
NIC1016	G	NIC1016	4.03793	-52.67185	South America	LAC
NIC1384	G	NIC1384	4.047968974	-52.67714404	South America	LAC
NIC2361	G	NIC2361	4.038404971	-52.677023	South America	LAC
NIC2371	G	NIC2371	4.042387968	-52.67838799	South America	LAC
NIC372	G	NIC372	4.03712	-52.67044	South America	LAC
NIC382	G	NIC382	4.03801	-52.67711	South America	LAC
NIC396	G	NIC396	4.03893	-52.67352	South America	LAC
NIC416	G	NIC416	4.03714	-52.67109	South America	LAC
NIC926	G	NIC926	4.03837	-52.67075	South America	LAC
NIC942	G	NIC942	4.04007	-52.67494	South America	LAC
NIC958	G	NIC958	4.03502	-52.67796	South America	LAC
NIC961	G	NIC961	4.03726	-52.67143	South America	LAC
NIC964	G	NIC964	4.03701	-52.67172	South America	LAC
NIC965	G	NIC965	4.03701	-52.67172	South America	LAC
NIC970	G	NIC970	4.03085	-52.68408	South America	LAC
NIC999	G	NIC999	4.03938	-52.67617	South America	LAC
NIC947	G	NIC947	4.03997	-52.67496	South America	LAC
NIC972	G	NIC972	4.03701	-52.67172	South America	LAC
NIC956	G	NIC956	4.0401	-52.67504	South America	LAC
NIC962	G	NIC962	4.03875	-52.6677	South America	LAC
NIC1005	G	NIC1005	4.03896	-52.66843	South America	LAC
NIC977	G	NIC977	4.03819	-52.67066	South America	LAC
NIC975	G	NIC975	4.03819	-52.67066	South America	LAC
ECA1445	H	ECA1445	19.8552394	-155.1527495	Hawaii	Hw2
ECA1453	H	ECA1453	19.854497	-155.15326	Hawaii	Hw2
ECA1447	H	ECA1447	19.8552394	-155.1527495	Hawaii	Hw2
ECA1449	H	ECA1449	19.8552394	-155.1527495	Hawaii	Hw2
ECA1451	H	ECA1451	19.8552394	-155.1527495	Hawaii	Hw2
JU1428	I	JU1428	4.08	-52.68	South America	LAC
NIC1276	I	NIC1276	3.61280797	-53.180336	South America	LAC
NIC1415	I	NIC1415	3.637292013	-53.20446499	South America	LAC
NIC339	I	NIC339	5.41305	-53.65004	South America	LAC
NIC408	I	NIC408	5.40848	-53.65181	South America	LAC
NIC434	I	NIC434	4.08584	-52.67358	South America	LAC
NIC1309	I	NIC1309	4.548271028	-52.21274	South America	LAC
NIC322	I	NIC322	5.29111	-53.05539	South America	LAC
NIC1400	I	NIC1400	4.561057035	-52.18330602	South America	LAC
NIC957	I	NIC957	4.03952	-52.67598	South America	LAC
NIC936	I	NIC936	4.03149	-52.68573	South America	LAC
NIC1277	I	NIC1277	3.607720993	-53.19995603	South America	LAC
NIC904	I	NIC904	4.03117	-52.68019	South America	LAC
NIC1316	I	NIC1316	4.548271028	-52.21274	South America	LAC
NIC1453	I	NIC1453	4.554173984	-52.21073999	South America	LAC
NIC1313	I	NIC1313	4.54814597	-52.21200599	South America	LAC
NIC1121	J	NIC1121	-12.87416004	-69.49736402	South America	LAC
NIC1132	J	NIC1132	-12.87564397	-69.49700503	South America	LAC
NIC1136	J	NIC1136	-12.872141	-69.49788203	South America	LAC
NIC1145	J	NIC1145	-12.87499001	-69.49504701	South America	LAC
NIC1161	J	NIC1161	-12.87576098	-69.496324	South America	LAC
NIC1164	J	NIC1164	-12.87692699	-69.49483403	South America	LAC
QG3535	J	QG3535	10.43792	-84.01132	Central America	LAC
QG3839	J	QG3839	10.43792	-84.01132	Central America	LAC
QG3811	J	QG3811	10.43288	-84.00678	Central America	LAC
JU1630	K	JU1630	17.1064	-25.1222	Africa	Af
JU1631	K	JU1631	17.1404	-25.1261	Africa	Af
JU1633	K	JU1633	17.115	-25.05	Africa	Af
JU1634	K	JU1634	17.12	-25.049	Africa	Af
JU1636	K	JU1636	17.129	-25.0966	Africa	Af
JU1639	K	JU1639	17.149	-25.0696	Africa	Af
JU1640	K	JU1640	15.084	-23.5215	Africa	Af
JU1641	K	JU1641	14.9174	-23.6049	Africa	Af
JU1818	K	JU1818	4.595467	-52.262633	South America	Af
JU1632	K	JU1632	17.1508	-25.1314	Africa	Af
NIC1679	L	NIC1679	22.08922	120.84876	Taiwan	Tw7
NIC1144	M	NIC1144	-12.87499001	-69.49504701	South America	LAC
NIC1149	M	NIC1149	-12.87644897	-69.49256002	South America	LAC
NIC1150	M	NIC1150	-12.87688499	-69.49274903	South America	LAC
NIC1152	M	NIC1152	-12.87629499	-69.49540299	South America	LAC
NIC1175	M	NIC1175	-12.88087302	-69.49066697	South America	LAC
NIC1176	M	NIC1176	-12.88127099	-69.49013798	South America	LAC
NIC1179	M	NIC1179	-12.882596	-69.48865003	South America	LAC
NIC1146	M	NIC1146	-12.875765	-69.49353903	South America	LAC
NIC1167	M	NIC1167	-12.87739897	-69.49448098	South America	LAC
NIC1160	M	NIC1160	-12.875118	-69.49683102	South America	LAC
NIC1180	M	NIC1180	-12.88253004	-69.48824904	South America	LAC
NIC1168	M	NIC1168	-12.87918197	-69.49254099	South America	LAC
NIC1140	M	NIC1140	-12.87255297	-69.49927501	South America	LAC
NIC1147	M	NIC1147	-12.87586299	-69.49340601	South America	LAC
NIC1151	M	NIC1151	-12.87644704	-69.49407396	South America	LAC
NIC1153	M	NIC1153	-12.87629499	-69.49540299	South America	LAC
NIC1169	M	NIC1169	-12.87919999	-69.49226297	South America	LAC
NIC1565	N	NIC1565	23.86597	120.90747	Taiwan	Tw1
NIC1583	N	NIC1583	23.58773	121.34154	Taiwan	Tw1
NIC1584	N	NIC1584	23.58773	121.34154	Taiwan	Tw1
NIC1585	N	NIC1585	23.58773	121.34154	Taiwan	Tw1
NIC1586	N	NIC1586	23.58878	121.33879	Taiwan	Tw1
NIC1587	N	NIC1587	23.58801	121.34578	Taiwan	Tw1
NIC1588	N	NIC1588	23.58801	121.34578	Taiwan	Tw1
NIC1596	N	NIC1596	24.6871	121.13633	Taiwan	Tw1
NIC1603	N	NIC1603	24.68897	121.13965	Taiwan	Tw1
NIC1658	N	NIC1658	25.02814	121.74912	Taiwan	Tw1
BRC20548	N	BRC20548	22.753556	120.731306	Taiwan	Tw1
NIC1915	O	NIC1915	14.67639	-61.090457	Caribbean	HC
NIC1916	O	NIC1916	14.67639	-61.090457	Caribbean	HC
NIC567	O	NIC567	15.37806	-61.33964	Caribbean	HC
NIC584	O	NIC584	15.40368	-61.34699	Caribbean	HC
NIC747	O	NIC747	15.31566	-61.2969	Caribbean	HC
NIC570	O	NIC570	15.47461	-61.29876	Caribbean	HC
NIC1919	O	NIC1919	14.676352	-61.090455	Caribbean	HC
ECA1311	O	ECA1311	20.04062	-155.4413	Hawaii	HC
ECA1312	O	ECA1312	20.04062	-155.4413	Hawaii	HC
ECA1313	O	ECA1313	20.04062	-155.4413	Hawaii	HC
NIC1918	O	NIC1918	14.676352	-61.090455	Caribbean	HC
ECA798	O	ECA798	19.906725	-155.141275	Hawaii	HC
ECA797	O	ECA797	19.590717	-155.067906	Hawaii	HC
JU1848	P	JU1848	4.090933	-52.674933	South America	LAC
JU1851	P	JU1851	4.087367	-52.682217	South America	LAC
JU1871	P	JU1871	4.082883	-52.679783	South America	LAC
NIC1438	P	NIC1438	4.08830001	-52.68124396	South America	LAC
NIC1514	P	NIC1514	4.085349999	-52.68294297	South America	LAC
NIC284	P	NIC284	4.07513	-52.6921	South America	LAC
NIC294	P	NIC294	4.09492	-52.68604	South America	LAC
NIC491	P	NIC491	4.08507	-52.68325	South America	LAC
NIC91	P	NIC91	4.08747	-52.67394	South America	LAC
JU1850	P	JU1850	4.086683	-52.68165	South America	LAC
NIC1470	P	NIC1470	4.090107987	-52.68292302	South America	LAC
NIC286	P	NIC286	4.08808	-52.67976	South America	LAC
NIC445	P	NIC445	4.08558	-52.67682	South America	LAC
NIC291	P	NIC291	4.092299	-52.675813	South America	LAC
NIC475	P	NIC475	4.08631	-52.67243	South America	LAC
QG3523	Q	QG3523	10.43288	-84.00678	Central America	LAC
QG3871	Q	QG3871	10.44027	-84.01227	Central America	LAC
QG853	Q	QG853	9.159372	-79.835975	Central America	LAC
QG3849	Q	QG3849	10.42551667	-84.01403333	Central America	LAC
QG3809	Q	QG3809	10.43288	-84.00678	Central America	LAC
QG1000	R	QG1000	9.170850606	-79.84289876	Central America	LAC
QG2724	R	QG2724	9.1598	-79.8399	Central America	LAC
QG2770	R	QG2770	9.1576	-79.83393333	Central America	LAC
QG3008	R	QG3008	9.16005	-79.841	Central America	LAC
QG3010	R	QG3010	9.159966667	-79.84096667	Central America	LAC
QG3011	R	QG3011	9.159966667	-79.84096667	Central America	LAC
QG3013	R	QG3013	9.159766667	-79.841	Central America	LAC
QG3038	R	QG3038	9.164533333	-79.84156667	Central America	LAC
QG3055	R	QG3055	9.16484	-79.83659	Central America	LAC
QG3064	R	QG3064	9.16092	-79.84046	Central America	LAC
QG841	R	QG841	9.161421	-79.837195	Central America	LAC
QG852	R	QG852	9.15443	-79.82735	Central America	LAC
QG921	R	QG921	9.164456	-79.844623	Central America	LAC
QG935	R	QG935	9.159499	-79.838839	Central America	LAC
QG987	R	QG987	9.147419	-79.85312	Central America	LAC
QG1004	R	QG1004	9.164456	-79.844623	Central America	LAC
QG834	R	QG834	9.15385	-79.83077	Central America	LAC
QG846	R	QG846	9.15443	-79.82735	Central America	LAC
QG3037	R	QG3037	9.164533333	-79.84156667	Central America	LAC
QG845	R	QG845	9.15443	-79.82735	Central America	LAC
QG836	R	QG836	9.15447	-79.82758	Central America	LAC
NIC1278	S	NIC1278	3.638634961	-53.20414497	South America	LAC
NIC1328	S	NIC1328	4.048613962	-52.676549	South America	LAC
NIC1410	S	NIC1410	3.61230799	-53.21481999	South America	LAC
NIC387	S	NIC387	4.03671	-52.67728	South America	LAC
NIC422	S	NIC422	4.03943	-52.67587	South America	LAC
NIC909	S	NIC909	4.03955	-52.67374	South America	LAC
NIC927	S	NIC927	4.04213	-52.68083	South America	LAC
NIC955	S	NIC955	4.04973	-52.67652	South America	LAC
BRC20464	T	BRC20464	24.822726	121.735653	Taiwan	Tw3
NIC1542	T	NIC1542	25.05704	121.77109	Taiwan	Tw3
NIC1544	T	NIC1544	25.05343	121.77265	Taiwan	Tw3
NIC1545	T	NIC1545	25.05343	121.77265	Taiwan	Tw3
NIC1546	T	NIC1546	25.05343	121.77265	Taiwan	Tw3
NIC1549	T	NIC1549	25.05343	121.77265	Taiwan	Tw3
NIC1550	T	NIC1550	25.05343	121.77265	Taiwan	Tw3
NIC1553	T	NIC1553	25.02212	121.73275	Taiwan	Tw3
NIC1557	T	NIC1557	25.01713	121.73247	Taiwan	Tw3
NIC1646	T	NIC1646	25.06549	121.82703	Taiwan	Tw3
NIC1648	T	NIC1648	25.06574	121.82753	Taiwan	Tw3
NIC1650	T	NIC1650	25.06574	121.82753	Taiwan	Tw3
NIC517	T	NIC517	25.00739	121.900472	Taiwan	Tw3
NIC1561	T	NIC1561	25.00481	121.73369	Taiwan	Tw3
NIC1647	T	NIC1647	25.06574	121.82753	Taiwan	Tw3
NIC530	T	NIC530	24.6	121	Taiwan	Tw3
NIC1644	T	NIC1644	25.06464	121.82481	Taiwan	Tw3
NIC1541	T	NIC1541	25.05792	121.77076	Taiwan	Tw3
NIC1548	T	NIC1548	25.05343	121.77265	Taiwan	Tw3
NIC1649	T	NIC1649	25.06574	121.82753	Taiwan	Tw3
NIC1551	T	NIC1551	25.02212	121.73275	Taiwan	Tw3
NIC1564	T	NIC1564	25.00469	121.7343	Taiwan	Tw3
NIC1911	U	NIC1911	14.804986	-61.146231	Caribbean	LAC
NIC1941	U	NIC1941	14.80577	-61.147328	Caribbean	LAC
NIC1543	V	NIC1543	25.05704	121.77109	Taiwan	Tw3
NIC1547	V	NIC1547	25.05343	121.77265	Taiwan	Tw3
NIC1653	V	NIC1653	25.02814	121.74912	Taiwan	Tw3
NIC1559	V	NIC1559	25.01519	121.73311	Taiwan	Tw3
BRC20400	V	BRC20400	25.016672	121.557423	Taiwan	Tw3
ECA2909	W	ECA2909	19.11058638	-155.8263837	Hawaii	HC
ECA2954	W	ECA2954	22.0638967	-159.3522759	Hawaii	HC
ECA2955	W	ECA2955	22.0638967	-159.3522759	Hawaii	HC
ECA2976	W	ECA2976	22.0638967	-159.3522759	Hawaii	HC
ECA3053	W	ECA3053	20.0389764	-155.4399684	Hawaii	HC
ECA791	W	ECA791	22.193317	-159.478956	Hawaii	HC
ECA792	W	ECA792	22.193317	-159.478956	Hawaii	HC
ECA793	W	ECA793	22.194578	-159.478478	Hawaii	HC
NIC122	W	NIC122	16.1779	-61.6563	Caribbean	HC
NIC192	W	NIC192	16.0459	-61.6262	Caribbean	HC
ECA796	W	ECA796	19.905167	-155.139322	Hawaii	HC
ECA1299	X	ECA1299	21.34198	-157.8095	Hawaii	Hw3
ECA1300	X	ECA1300	21.34202	-157.8096	Hawaii	Hw3
ECA1302	X	ECA1302	21.34202	-157.8096	Hawaii	Hw3
ECA1305	X	ECA1305	21.34091	-157.822	Hawaii	Hw3
ECA1307	X	ECA1307	21.34198	-157.8095	Hawaii	Hw3
ECA788	X	ECA788	21.362625	-157.779914	Hawaii	Hw3
ECA789	X	ECA789	21.336056	-157.799786	Hawaii	Hw3
ECA1301	X	ECA1301	21.34202	-157.8096	Hawaii	Hw3
ECA1304	X	ECA1304	21.34202	-157.8096	Hawaii	Hw3
ECA1401	X	ECA1401	21.342699	-157.821547	Hawaii	Hw3
ECA1303	X	ECA1303	21.34202	-157.8096	Hawaii	Hw3
ECA1403	X	ECA1403	21.342699	-157.821547	Hawaii	Hw3
ECA1405	X	ECA1405	21.342699	-157.821547	Hawaii	Hw3
JU1373	Y	JU1373	-21.0473	55.6885	Africa	Af
JU1374	Y	JU1374	-21.0484	55.6878	Africa	Af
JU1800	Y	JU1800	-21.0471	55.6887	Africa	Af
JU3170	Y	JU3170	0.289	6.612	Africa	Af
NIC1526	Y	NIC1526	-16.755721	49.99665	Africa	Af
NIC1534	Y	NIC1534	-17.088793	49.827329	Africa	Af
NIC1531	Y	NIC1531	-16.755873	49.996516	Africa	Af
ECA1306	Z	ECA1306	21.34293	-157.8239	Hawaii	Hw1
ECA1309	Z	ECA1309	21.34293	-157.8239	Hawaii	Hw1
ECA1310	Z	ECA1310	21.34293	-157.8239	Hawaii	Hw1
ECA1481	Z	ECA1481	21.39448889	-157.9002278	Hawaii	Hw1
ECA1518	Z	ECA1518	21.39774444	-157.8914889	Hawaii	Hw1
ECA1581	Z	ECA1581	21.317253	-157.81937	Hawaii	Hw1
ECA1599	Z	ECA1599	21.394489	-157.90023	Hawaii	Hw1
ECA2087	Z	ECA2087	21.394489	-157.90023	Hawaii	Hw1
ECA2898	Z	ECA2898	21.355658	-157.7645652	Hawaii	Hw1
ECA2900	Z	ECA2900	21.355658	-157.7645652	Hawaii	Hw1
ECA800	Z	ECA800	20.78352803	-156.0650423	Hawaii	Hw1
ECA801	Z	ECA801	20.78352803	-156.0650423	Hawaii	Hw1
ECA802	Z	ECA802	20.78352803	-156.0650423	Hawaii	Hw1
ECA803	Z	ECA803	20.78352803	-156.0650423	Hawaii	Hw1
ECA804	Z	ECA804	20.807406	-156.096654	Hawaii	Hw1
ECA1585	Z	ECA1585	21.317253	-157.81937	Hawaii	Hw1
ECA1603	Z	ECA1603	21.39578611	-157.9005111	Hawaii	Hw1
ECA1579	Z	ECA1579	21.317253	-157.81937	Hawaii	Hw1
ECA1583	Z	ECA1583	21.317253	-157.81937	Hawaii	Hw1
ECA805	Z	ECA805	20.807406	-156.096654	Hawaii	Hw1
ECA2910	Z	ECA2910	21.355658	-157.7645652	Hawaii	Hw1
ECA2920	Z	ECA2920	21.355658	-157.7645652	Hawaii	Hw1
ECA2899	Z	ECA2899	21.355658	-157.7645652	Hawaii	Hw1
